name,country,visibility,difficulty,mentions,volume,volume_trend,intents
Brastemp Lavadoras – Problemas de Ligar e Painel Piscando,br,100,89,19,1993,95;98;99;98;97;97;97;100;99;99;100;100,task:8;informational:81;navigational:2;commercial:5;transactional:4
Micro-ondas Brastemp,br,100,89,23,1225,83;99;100;49;47;49;50;54;56;56;55;55,task:2;informational:47;navigational:25;commercial:18;transactional:8
Painel da Geladeira Brastemp,br,100,89,19,924,38;42;43;75;75;75;74;95;97;98;97;100,task:2;informational:69;navigational:5;commercial:10;transactional:14
Lava-louças Brastemp 14 Serviços,br,100,87,18,689,62;76;78;71;70;68;66;67;77;86;95;100,task:5;informational:59;navigational:10;commercial:15;transactional:11
Brastemp Maxi Micro-ondas,br,100,89,22,541,59;69;100;60;41;42;41;62;57;60;51;51,task:2;informational:62;navigational:15;commercial:16;transactional:5
Forno Brastemp com Air Fryer,br,100,89,18,397,41;65;70;59;55;57;56;100;52;55;82;86,task:3;informational:46;navigational:12;commercial:20;transactional:19
Manutenção e Desmontagem de Máquinas de Lavar Brastemp,br,100,88,15,191,55;76;83;77;74;76;69;77;77;90;80;100,task:3;informational:64;navigational:8;commercial:12;transactional:13
Lavadoras Brastemp 13kg e 15kg,br,99,77,102,32892,88;89;93;98;99;99;99;100;97;98;97;98,task:2;informational:45;navigational:5;commercial:30;transactional:18
Lavadoras Brastemp 12kg,br,99,71,78,27681,100;100;46;49;66;66;67;73;73;74;73;73,informational:46;navigational:4;commercial:30;transactional:20
Manuais Brastemp,br,99,78,35,5151,34;37;38;71;82;83;83;100;98;98;99;98,informational:57;navigational:33;commercial:5;transactional:5
Geladeiras Brastemp Frost Free,br,99,83,28,4034,84;99;100;56;52;55;55;90;92;93;93;92,task:2;informational:51;navigational:7;commercial:29;transactional:11
Forno Brastemp Embutido 67L,br,99,86,16,1184,45;56;58;53;62;55;53;84;72;79;95;100,informational:51;navigational:9;commercial:28;transactional:12
Brastemp Lava-Louças: Tabela de Erros,br,99,87,18,839,96;100;100;99;84;85;84;88;88;87;86;88,task:2;informational:73;navigational:10;commercial:10;transactional:5
Lava-louças Brastemp 10 serviços,br,99,82,21,792,58;91;93;100;96;97;93;92;94;94;94;93,task:3;informational:54;navigational:18;commercial:17;transactional:8
Brastemp Embutir Micro-ondas,br,99,86,16,710,53;72;76;69;63;67;66;74;83;100;84;95,task:3;informational:35;navigational:35;commercial:19;transactional:8
Lava-Louças Brastemp e Eletrodomésticos,br,99,87,19,641,21;48;55;53;74;78;77;68;69;100;82;82,task:1;informational:38;navigational:37;commercial:15;transactional:9
Brastemp lavadoras não centrifugam,br,99,90,16,340,94;93;70;64;64;66;100;68;57;74;80;76,task:5;informational:71;navigational:9;commercial:7;transactional:8
Geladeiras Brastemp,br,98,59,208,116014,66;67;71;76;94;94;94;86;100;100;100;100,task:2;informational:37;navigational:23;commercial:16;transactional:22
Brastemp fogões 5 bocas,br,98,53,69,25861,92;89;92;93;91;91;91;100;99;99;99;99,task:5;informational:33;navigational:15;commercial:27;transactional:20
Fornos Brastemp Embutidos,br,98,66,72,18924,98;99;100;44;46;47;47;44;44;44;44;44,task:2;informational:41;navigational:34;commercial:12;transactional:11
Secadoras Brastemp,br,98,85,45,14199,96;100;47;47;55;56;56;77;76;76;76;76,task:10;informational:38;navigational:4;commercial:28;transactional:20
Lavadoras Brastemp 9kg,br,98,84,42,7655,94;49;51;65;80;81;81;93;100;100;100;99,task:2;informational:44;navigational:5;commercial:35;transactional:14
Brastemp 10kg: Máquinas de lavar,br,98,79,33,5382,46;62;64;69;64;68;68;100;100;100;100;100,task:2;informational:52;navigational:5;commercial:27;transactional:14
Geladeiras Brastemp Inverse,br,98,73,31,4416,56;77;81;89;82;86;87;98;100;100;100;99,task:2;informational:40;navigational:25;commercial:19;transactional:14
Brastemp Coifa e Depuradores,br,98,77,29,3629,87;98;100;99;46;48;48;45;51;51;51;50,task:2;informational:38;navigational:26;commercial:18;transactional:16
Lavadoras Brastemp 14kg,br,98,86,20,1755,74;99;100;92;51;44;45;44;49;49;49;48,task:2;informational:56;navigational:15;commercial:13;transactional:14
Painel de máquina de lavar Brastemp,br,98,88,25,1607,85;100;100;50;46;47;47;86;89;89;91;91,task:2;informational:69;navigational:3;commercial:12;transactional:14
Brastemp BNC10 Lava e Seca,br,98,86,17,1043,19;23;23;22;22;23;22;100;59;79;65;87,task:5;informational:64;navigational:15;commercial:10;transactional:6
Brastemp 7kg Lavadoras (Lava e Seca),br,98,78,17,713,21;36;42;34;33;54;82;36;34;37;34;100,task:7;informational:46;navigational:14;commercial:23;transactional:10
