name,prompts_count,volume,volume_trend,intents
Consul Definitions & References,16,376,49;54;55;53;72;83;73;100;67;68;71;73,task:5;informational:69;navigational:9;commercial:5;transactional:12
Consul e Consulado: significado e termos,46,13652,81;83;83;91;81;82;83;100;99;99;99;99,task:5;informational:80;navigational:7;commercial:5;transactional:3
Consulente: significado e umbanda,23,5313,39;48;49;47;86;88;89;94;100;100;100;100,task:4;informational:80;navigational:5;commercial:7;transactional:4
Cons em Português,22,4450,36;62;66;57;84;88;88;98;100;100;100;100,task:20;informational:62;navigational:5;commercial:10;transactional:3
Consul lojas e cupons,29,21332,84;89;95;98;96;96;96;99;100;100;100;100,task:2;informational:34;navigational:26;commercial:20;transactional:18
Conselho e sinônimos,67,79219,53;57;73;70;66;66;66;98;100;100;100;100,task:20;informational:65;navigational:4;commercial:9;transactional:2
Café Consulado,16,2300,52;60;58;56;65;63;62;100;95;95;97;97,task:5;informational:53;navigational:18;commercial:12;transactional:12
Consul Climatização e Bem-Estar,51,18598,44;48;49;50;70;70;70;99;100;100;100;100,task:2;informational:57;navigational:15;commercial:18;transactional:8
Cupons e promoções Consul,23,5027,53;63;46;74;73;74;75;91;100;100;100;100,task:2;informational:44;navigational:6;commercial:18;transactional:30
Consel Serviços e Concursos,15,225,11;11;12;60;61;69;48;100;81;77;66;17,task:7;informational:33;navigational:42;commercial:11;transactional:7
Diplomacia e Diplomatas,77,35791,50;53;53;91;91;92;92;97;100;100;100;100,task:4;informational:80;navigational:5;commercial:7;transactional:4
Imperium Domini,16,841,24;26;93;94;94;94;94;100;20;20;20;19,task:5;informational:75;navigational:5;commercial:10;transactional:5
Honores Latini,51,53885,77;83;85;83;90;90;90;100;99;99;99;99,task:2;informational:81;navigational:6;commercial:9;transactional:2
Consul Imóveis e Imobiliárias,15,304,33;88;94;83;66;53;53;100;81;62;51;64,task:5;informational:16;navigational:61;commercial:7;transactional:11
Legal Counsel and Definitions,19,696,39;45;43;44;45;47;45;100;99;100;97;100,task:2;informational:80;navigational:5;commercial:8;transactional:5
Embaixador: Significado e Contextos,49,21905,53;65;71;77;85;86;86;100;100;100;100;100,task:2;informational:76;navigational:11;commercial:5;transactional:6
Procônsul bíblico,22,3809,27;30;32;32;73;74;74;93;100;99;99;99,task:8;informational:84;navigational:3;commercial:2;transactional:3
Consolati e Ambasciate Italiane,15,140,69;68;76;73;73;76;75;75;78;80;79;100,task:3;informational:22;navigational:62;commercial:4;transactional:9
Consultoria e Conselhos de Advisor,24,3307,72;84;85;57;68;72;72;95;97;97;100;100,task:2;informational:70;navigational:5;commercial:15;transactional:8
Termini Latini Iuris Civilis,23,7820,79;88;90;100;95;96;96;87;87;87;86;86,task:8;informational:83;navigational:5;commercial:4
