name,prompts_count,volume,volume_trend,intents
Ar Condicionado,16,1179,18;19;20;20;19;18;34;30;40;40;93;100,task:8;informational:63;navigational:15;commercial:9;transactional:5
Climatização e Ar Condicionado,16,1115,20;51;51;43;43;37;37;74;54;64;76;100,task:7;informational:44;navigational:10;commercial:28;transactional:11
Ar Condicionado e Climatização,17,1649,39;69;70;55;74;72;71;100;61;66;90;100,task:3;informational:59;navigational:4;commercial:24;transactional:10
Poloar Ar Condicionado,18,6375,69;84;90;87;97;99;99;100;96;96;96;95,informational:48;navigational:21;commercial:18;transactional:13
Ar Condicionado Único,15,232,10;57;68;33;35;29;30;100;50;20;17;21,task:3;informational:45;navigational:32;commercial:15;transactional:5
Guia de Ar Condicionado,19,3994,58;73;76;73;68;68;68;100;92;85;82;86,task:5;informational:80;navigational:5;commercial:8;transactional:2
Ar Condicionado Brasil,15,1085,5;61;61;48;41;9;27;7;6;93;78;100,task:3;informational:35;navigational:26;commercial:24;transactional:12
Climatização de Ambientes,22,2835,29;34;35;33;35;36;36;100;40;40;40;40,task:3;informational:68;navigational:2;commercial:17;transactional:10
Climatizadores de Ar,223,339623,22;23;24;78;93;93;93;98;100;100;100;100,task:2;informational:44;navigational:2;commercial:40;transactional:12
Ar Condicionado Conforterm,21,2810,12;13;30;57;60;49;56;90;77;84;81;100,task:1;informational:52;navigational:27;commercial:16;transactional:4
Ar Condicionado em Lojas Online,16,1029,17;32;39;32;31;30;43;76;66;76;65;100,task:2;informational:33;navigational:32;commercial:28;transactional:5
Ar condicionado e refrigeração,622,739015,47;47;48;58;84;84;84;100;96;96;96;96,task:2;informational:45;navigational:7;commercial:33;transactional:13
"Clima, Ar Condicionado e Refrigeração",15,1751,32;40;40;43;48;49;48;61;46;46;92;100,task:5;informational:61;navigational:4;commercial:22;transactional:8
Ar Condicionado e Refrigeração de Qualidade,16,758,13;53;53;50;50;40;39;16;15;57;72;100,task:3;informational:45;navigational:18;commercial:29;transactional:5
Resfriar e Climatização,17,2237,48;78;78;71;43;44;43;73;88;90;91;100,task:4;informational:53;navigational:7;commercial:22;transactional:14
Ar condicionado: peças e funcionamento,132,93398,37;37;38;81;92;92;92;99;100;100;100;100,task:4;informational:79;navigational:4;commercial:11;transactional:2
Climatização e Refrigeração,15,63,8;74;100;39;12;11;8;7;8;8;8;8,task:7;informational:48;navigational:4;commercial:21;transactional:20
Instalação de Ar Condicionado,101,60532,41;53;64;70;76;76;76;95;100;100;100;100,task:2;informational:59;navigational:2;commercial:23;transactional:14
Estilo Ar e Ar Condicionado,17,1379,20;44;68;52;34;38;31;100;53;61;76;94,task:7;informational:28;navigational:34;commercial:20;transactional:11
Ar Condicionado Embutido,19,1177,24;49;54;38;49;33;41;32;32;32;73;100,task:5;informational:48;navigational:11;commercial:19;transactional:17
Ar Condicionado Str,31,24438,23;77;79;30;79;79;79;98;100;100;100;100,task:3;informational:58;navigational:13;commercial:20;transactional:6
Climatizadores vs Ar Condicionado,36,6292,82;85;83;87;95;96;96;91;98;98;100;100,task:2;informational:79;navigational:5;commercial:11;transactional:3
Refrigeração e Ar Condicionado,15,302,36;88;100;69;77;38;39;39;84;41;51;53,task:4;informational:51;navigational:7;commercial:27;transactional:11
"Ar condicionado: dicas, controles e símbolos",557,294003,80;84;84;89;95;95;95;98;100;100;100;100,task:3;informational:78;navigational:5;commercial:8;transactional:6
Ar Condicionado e Economia de Energia,87,32858,95;97;100;98;94;94;94;92;93;93;93;93,task:5;informational:72;navigational:5;commercial:10;transactional:8
Melhores Ar Condicionado,133,119140,18;23;25;49;73;74;74;98;100;100;100;100,task:2;informational:42;navigational:1;commercial:48;transactional:7
Clima e Refrigeração,15,303,78;36;40;41;41;42;43;48;49;100;67;70,task:2;informational:67;navigational:16;commercial:12;transactional:3
