name,prompts_count,volume,volume_trend,intents
Fogões e Fornos de Cozinha,15,677,35;56;67;47;60;57;71;100;72;75;68;87,task:8;informational:66;navigational:8;commercial:14;transactional:4
Fogões Elétricos,94,39378,21;21;22;96;100;100;100;53;30;30;30;30,task:8;informational:45;navigational:4;commercial:25;transactional:18
Eletrodomésticos para Cozinha,70,27782,35;38;50;72;80;80;80;93;100;100;100;100,task:2;informational:62;navigational:2;commercial:26;transactional:8
Aparelhos e Acessórios de Cozinha,15,545,6;33;44;36;36;39;28;100;85;78;92;70,task:3;informational:60;navigational:9;commercial:18;transactional:10
Fogões e fornos Elettromec,15,1393,72;93;98;91;80;87;88;95;100;99;99;98,task:4;informational:27;navigational:46;commercial:6;transactional:17
Cookers e fogões,18,1083,70;74;74;75;93;93;99;100;38;39;39;43,task:2;informational:75;navigational:10;commercial:10;transactional:3
Cozinha Industrial e Equipamentos,24,13468,31;38;42;98;99;100;100;100;100;100;100;100,task:5;informational:55;navigational:1;commercial:35;transactional:4
Cooktops e Fogões de Indução,268,417452,19;19;19;85;98;98;98;100;82;82;82;82,task:2;informational:49;navigational:4;commercial:37;transactional:8
fogões elétricos de bancada,16,141,5;18;23;16;16;11;32;100;74;17;14;21,task:3;informational:39;navigational:4;commercial:36;transactional:18
Fogões com Forno Elétrico,34,8762,23;31;41;54;99;100;100;74;84;84;84;84,task:2;informational:49;navigational:5;commercial:33;transactional:11
Fogões e Cooktops,16,382,14;85;100;19;33;32;30;30;25;31;29;31,task:2;informational:50;navigational:19;commercial:15;transactional:14
Fogões e Cooktops Industriais,16,536,70;99;99;92;85;90;96;100;100;86;87;85,task:10;informational:45;navigational:4;commercial:32;transactional:9
Panelas e Utensílios de Cozinha,15,657,69;91;95;93;93;91;100;96;96;96;100;99,task:10;informational:38;navigational:7;commercial:37;transactional:8
Fogões Realce e Eletrodomésticos,16,1989,83;99;100;52;51;54;54;62;82;88;80;81,task:1;informational:33;navigational:35;commercial:26;transactional:5
Fogões Clarice e Eletrodomésticos,15,1326,28;48;53;42;49;54;43;56;38;37;98;100,task:4;informational:20;navigational:42;commercial:17;transactional:17
Fogões e Cooktops por Indução,53,12086,93;97;100;100;44;44;44;83;55;55;55;55,task:8;informational:43;navigational:4;commercial:36;transactional:9
Fogões e Fornos Importados,17,3287,73;86;51;55;96;98;99;96;98;100;97;97,task:2;informational:50;navigational:7;commercial:30;transactional:11
Eletroportáteis de Cozinha,26,5956,23;26;26;26;90;91;91;99;100;100;100;100,task:2;informational:50;navigational:4;commercial:34;transactional:10
