name,prompts_count,volume,volume_trend,intents
Fogões e Eletrodomésticos de Cozinha,16,826,16;14;7;15;14;26;33;25;91;100;86;18,task:7;informational:33;navigational:7;commercial:37;transactional:16
Fogões e Fogareiros Elétricos,18,1666,14;15;15;16;40;48;55;100;82;61;50;61,task:2;informational:42;navigational:8;commercial:44;transactional:4
Eletrodomésticos Brasil,16,3860,5;5;6;4;10;10;17;54;39;100;80;87,task:2;informational:51;navigational:9;commercial:31;transactional:7
Prática e Equipamentos de Cozinha,16,599,100;71;63;19;15;98;88;88;77;41;37;62,task:7;informational:55;navigational:13;commercial:14;transactional:11
utensílios de cozinha,16,1642,22;42;49;50;57;49;42;63;57;55;63;100,task:2;informational:55;navigational:4;commercial:31;transactional:8
Fogões de Indução e Panelas Compatíveis,22,541,9;10;9;19;100;60;52;23;22;22;22;21,task:5;informational:59;navigational:2;commercial:26;transactional:8
Jogo de Panelas e Panelas de Cerâmica,15,1653,26;26;26;26;22;54;47;66;61;100;83;85,task:8;informational:29;navigational:3;commercial:45;transactional:15
Fondue e utensílios de fondue,16,1488,17;16;22;63;90;72;78;97;89;100;73;97,task:10;informational:40;navigational:8;commercial:28;transactional:14
Forno e Fogão de Embutir Elétrico,18,1110,13;13;19;17;49;38;37;100;95;14;14;75,task:3;informational:37;navigational:11;commercial:27;transactional:22
Panelas para fogão de indução e elétrico,17,4780,2;2;3;3;7;6;16;5;5;86;72;100,task:2;informational:52;navigational:1;commercial:38;transactional:7
Torneiras de Cozinha,17,160,19;29;15;17;41;38;32;87;87;100;7;8,task:7;informational:32;navigational:4;commercial:41;transactional:16
faqueiros e talheres,16,172,12;12;76;79;100;85;53;7;8;8;11;11,task:3;informational:47;navigational:9;commercial:33;transactional:8
Fogões a Lenha e suas Variedades,16,536,35;34;33;31;50;42;50;25;28;100;63;100,task:3;informational:72;navigational:1;commercial:18;transactional:6
Eletrodomésticos Samsung,15,5820,64;36;45;28;28;22;25;100;74;50;42;70,task:3;informational:28;navigational:32;commercial:11;transactional:26
Fritadeiras Elétricas e Air Fryers,15,188,27;27;60;49;13;12;16;18;85;100;22;18,task:10;informational:41;navigational:1;commercial:34;transactional:14
Electrodomésticos para Cocina,16,738,33;23;23;21;32;32;7;100;89;36;31;37,task:2;informational:50;navigational:4;commercial:33;transactional:11
Técnico de Electrodomésticos,15,1341,6;11;14;15;39;25;20;48;40;82;64;100,task:5;informational:72;navigational:8;commercial:10;transactional:5
Churrasqueiras Elétricas,15,1677,5;4;52;60;54;10;9;100;26;22;85;91,task:3;informational:51;navigational:4;commercial:26;transactional:16
Cozinhas Modulares e Completas,16,136,8;10;9;26;26;26;27;100;100;10;10;10,task:7;informational:31;navigational:5;commercial:48;transactional:9
Aquecedores de Água a Gás e Elétricos,16,543,11;11;11;10;12;12;12;9;5;100;68;15,task:4;informational:34;navigational:1;commercial:47;transactional:14
aventais de cozinha,16,324,53;77;64;57;57;51;14;100;74;38;25;35,task:10;informational:25;navigational:4;commercial:43;transactional:18
Batedeiras e Utensílios de Cozinha,18,333,49;50;54;94;66;64;100;57;36;39;39;43,informational:60;navigational:4;commercial:26;transactional:10
Gás de Cozinha e Botijão,24,1429,21;22;23;53;40;30;29;100;100;46;46;46,task:2;informational:67;navigational:5;commercial:16;transactional:10
Gabinetes de Cozinha,15,19,12;7;6;14;14;13;13;73;100;1;1;1,task:10;informational:35;navigational:3;commercial:47;transactional:5
Lava Louças e Máquinas de Lavar Louça,26,4147,38;36;100;70;72;31;26;57;64;78;61;100,task:2;informational:37;navigational:9;commercial:41;transactional:11
