name,prompts_count,volume,volume_trend,intents
Receitas de forno,24,1412,91;100;59;66;61;63;64;55;92;92;92;92,task:2;informational:83;navigational:5;commercial:8;transactional:2
Forno para Bolos,40,6970,19;32;40;76;88;89;89;100;100;100;100;100,task:2;informational:56;navigational:10;commercial:20;transactional:12
Forno e Arte de Cozinha,17,239,18;85;100;38;28;34;46;69;47;61;66;27,task:10;informational:47;navigational:9;commercial:20;transactional:14
Formas e assadeiras para forno,19,258,43;76;87;54;53;54;67;91;100;68;69;67,task:3;informational:48;navigational:1;commercial:39;transactional:9
Forno de fundição,19,173,84;97;100;99;88;90;91;96;96;97;97;97,task:10;informational:67;navigational:4;commercial:15;transactional:4
"Forno, Fogão e Pizza",15,130,53;61;63;69;69;72;74;96;100;89;85;85,task:3;informational:58;navigational:4;commercial:24;transactional:11
Forno Combinado,32,19849,19;24;25;80;100;100;100;96;96;96;97;96,task:3;informational:55;navigational:6;commercial:22;transactional:14
Forno a gás,15,41,8;26;29;17;31;34;8;100;9;9;9;9,task:7;informational:47;navigational:9;commercial:26;transactional:11
Fogões e Fornos de Cozinha,15,677,35;56;67;47;60;57;71;100;72;75;68;87,task:8;informational:66;navigational:8;commercial:14;transactional:4
Forno para Pão,21,1010,40;58;73;63;45;46;46;100;63;68;68;71,task:3;informational:54;navigational:7;commercial:20;transactional:16
Fornos Elétricos,241,147415,42;40;41;53;100;100;100;97;79;79;79;79,task:2;informational:40;navigational:4;commercial:39;transactional:15
Sforno Pizzerie Italiane,15,282,80;93;94;98;93;100;99;96;99;98;99;98,task:3;informational:29;navigational:42;commercial:15;transactional:11
Fornos Industriais para Padarias,64,17688,91;42;49;64;82;83;83;100;96;96;96;96,task:2;informational:50;navigational:2;commercial:30;transactional:16
fornos wictory,19,824,88;98;100;99;94;96;97;61;68;69;63;62,task:2;informational:39;navigational:36;commercial:14;transactional:9
Forno autolimpante,30,5291,20;27;31;62;97;98;98;100;97;100;91;91,task:5;informational:65;navigational:2;commercial:20;transactional:8
fornos a carvão,19,583,61;63;64;77;100;100;100;99;72;72;74;74,task:4;informational:70;navigational:2;commercial:15;transactional:9
Air Fryer e Forno,59,31544,18;21;23;86;57;57;57;100;78;78;78;78,task:5;informational:55;navigational:4;commercial:24;transactional:12
Bolos no Forno,111,28941,14;18;20;46;79;80;80;99;100;100;100;100,task:4;informational:79;navigational:5;commercial:8;transactional:4
Cuisinart - Fornos e Air Fryers,16,467,64;81;100;92;96;84;85;92;91;92;84;84,task:3;informational:38;navigational:17;commercial:32;transactional:10
Fornos Progas,31,3319,86;98;100;100;49;51;52;52;50;50;50;50,task:2;informational:32;navigational:24;commercial:25;transactional:17
La Fornace Ristorante e Pizzeria,16,293,50;95;79;80;80;90;79;100;87;74;75;79,task:3;informational:36;navigational:37;commercial:16;transactional:8
Forno Pietro e fornos de esteira,15,195,83;92;100;94;89;92;92;90;90;90;90;93,informational:53;navigational:20;commercial:11;transactional:16
Forno Ooni e pizzas,18,1182,71;85;84;83;76;78;78;78;100;100;100;100,task:5;informational:64;navigational:12;commercial:16;transactional:3
Forno industrial e assadeiras,15,43,24;96;100;30;34;37;35;38;41;32;32;34,task:3;informational:49;navigational:4;commercial:28;transactional:16
