name,prompts_count,volume,volume_trend,intents
Ar condicionado e refrigeração,622,739015,47;47;48;58;84;84;84;100;96;96;96;96,task:2;informational:45;navigational:7;commercial:33;transactional:13
Geladeiras e Refrigeradores Frost Free e Inox,828,715796,27;27;29;35;100;100;100;48;46;46;46;46,task:2;informational:43;navigational:6;commercial:37;transactional:12
Máquinas de Lavar Roupa,1020,671917,53;52;62;71;94;94;94;100;99;99;99;99,task:5;informational:45;navigational:5;commercial:36;transactional:9
Climatizadores de Ar,223,339623,22;23;24;78;93;93;93;98;100;100;100;100,task:2;informational:44;navigational:2;commercial:40;transactional:12
Máquinas de Lavar e Secar,324,230136,37;37;41;53;97;97;97;100;97;97;97;97,task:8;informational:37;navigational:5;commercial:38;transactional:12
"Electrolux no Brasil: Geladeiras, Serviços e Lojas",138,217538,88;89;94;95;99;99;99;99;100;100;100;100,task:3;informational:45;navigational:30;commercial:12;transactional:10
Lojas Cem Brasil: móveis e eletrodomésticos,398,201445,76;71;73;85;100;100;100;94;96;96;96;96,task:2;informational:36;navigational:43;commercial:9;transactional:10
Eletrônicos e Componentes,56,132402,30;30;31;76;88;88;88;97;100;100;100;100,task:5;informational:47;navigational:4;commercial:34;transactional:10
Melhores Ar Condicionado,133,119140,18;23;25;49;73;74;74;98;100;100;100;100,task:2;informational:42;navigational:1;commercial:48;transactional:7
Geladeiras Brastemp,212,116014,66;67;71;76;94;94;94;86;100;100;100;100,task:2;informational:37;navigational:23;commercial:16;transactional:22
Freezers e Geladeiras,142,113169,66;67;70;78;88;88;88;99;100;100;100;100,task:5;informational:45;navigational:4;commercial:31;transactional:15
Refrigerantes no Brasil,67,104943,15;16;17;91;95;95;95;38;100;100;100;100,task:2;informational:64;navigational:5;commercial:19;transactional:10
Promoções de Casa: liquidificadores e móveis,86,90737,100;100;42;46;49;49;49;52;54;54;54;54,informational:25;navigational:8;commercial:41;transactional:26
Aquecedores e Sistemas de Aquecimento,146,77998,36;41;43;100;80;80;80;78;77;77;77;77,task:2;informational:43;navigational:2;commercial:35;transactional:18
Frigobar: Preços e Promoções,75,70598,60;61;65;86;100;100;100;97;95;95;95;95,informational:50;navigational:2;commercial:34;transactional:14
Eletrodomésticos e outlets no Brasil,74,65997,22;23;25;44;81;81;81;100;87;87;87;87,task:2;informational:39;navigational:15;commercial:36;transactional:8
Geladeiras side by side,74,64112,76;76;35;64;100;100;100;98;94;94;94;94,task:2;informational:53;navigational:2;commercial:30;transactional:13
Envelopamento e adesivos para geladeiras,69,54488,41;42;34;74;100;100;100;94;95;95;95;95,task:8;informational:52;navigational:4;commercial:24;transactional:12
Ar condicionado Agratto Brasil,76,54171,18;21;32;69;95;95;95;100;100;100;100;100,task:3;informational:41;navigational:29;commercial:18;transactional:9
Atacado de bebidas: refrigerantes e cervejas,102,53927,21;22;25;69;89;89;89;96;100;100;100;100,task:5;informational:41;navigational:7;commercial:28;transactional:19
Geladeira Não gela: Vazamento de gás e falhas,172,53308,71;72;72;81;95;95;95;96;100;100;100;100,task:5;informational:73;navigational:2;commercial:6;transactional:14
Utilidades domésticas e lojas de variedades,68,53006,71;76;61;66;99;99;99;100;95;95;95;95,task:8;informational:38;navigational:11;commercial:31;transactional:12
Chaleiras elétricas,92,51885,48;49;51;57;100;100;100;64;63;63;63;63,task:8;informational:37;navigational:4;commercial:35;transactional:16
Geladeiras Consul,100,50804,80;79;82;88;89;89;89;98;100;100;100;100,task:3;informational:50;navigational:10;commercial:21;transactional:16
Máquinas de gelo,85,49986,36;38;41;46;63;63;63;99;100;100;100;100,task:8;informational:42;navigational:4;commercial:34;transactional:12
Secadoras de roupas no Brasil,135,49370,45;47;50;59;68;68;68;100;73;73;73;73,task:8;informational:42;navigational:6;commercial:35;transactional:9
Geladeiras Electrolux no Brasil,114,46843,51;52;55;61;69;69;69;78;99;100;100;100,task:1;informational:54;navigational:15;commercial:15;transactional:15
