name,prompts_count,volume,volume_trend,intents
Máquinas de Lavar Roupa,1020,671917,53;52;62;71;94;94;94;100;99;99;99;99,task:5;informational:45;navigational:5;commercial:36;transactional:9
Máquinas de Passar Roupa,15,1939,36;39;41;43;44;44;46;100;98;93;93;98,task:5;informational:70;navigational:2;commercial:15;transactional:8
Lavadoras de Roupa Portáteis,33,9822,92;97;100;45;43;43;43;42;45;45;45;44,task:2;informational:51;navigational:5;commercial:19;transactional:23
Máquinas de Lavar Roupas,24,2285,35;37;37;47;47;53;52;100;89;69;68;86,task:5;informational:72;navigational:5;commercial:10;transactional:8
Máquinas de lavar e secar roupas,17,1423,27;79;84;55;67;48;49;99;85;89;89;100,task:2;informational:55;navigational:10;commercial:15;transactional:18
Balde e lavadora de roupas,21,527,87;100;100;58;57;64;74;81;45;45;43;43,task:8;informational:75;navigational:2;commercial:10;transactional:5
Máquinas de lavar industriais,68,15409,23;29;32;48;91;91;92;100;97;97;97;97,task:4;informational:44;navigational:1;commercial:40;transactional:11
Melhores Máquinas de Lavar Roupas,20,1915,23;27;32;31;52;49;52;100;79;86;80;96,task:2;informational:30;commercial:60;transactional:8
Máquinas de lavar roupas no Brasil,15,548,5;47;50;39;39;28;22;100;45;70;56;58,task:5;informational:56;navigational:11;commercial:11;transactional:17
Máquinas de Lavar e Secar,324,230136,37;37;41;53;97;97;97;100;97;97;97;97,task:8;informational:37;navigational:5;commercial:38;transactional:12
Lavadoras de roupas,17,774,36;74;82;68;41;51;53;41;64;84;56;100,task:7;informational:37;navigational:10;commercial:18;transactional:28
Peças de máquina de lavar,53,27921,27;30;36;45;74;75;75;96;100;100;100;100,task:3;informational:46;navigational:3;commercial:33;transactional:15
Maquinas de Lavar e Secar,17,844,11;36;45;30;29;22;11;57;23;100;35;55,task:5;informational:32;navigational:19;commercial:25;transactional:19
Máquinas de lavar Bemol,17,209,17;90;100;58;58;33;35;63;42;24;25;25,task:1;informational:47;navigational:24;commercial:11;transactional:17
Máquinas de lavar no Pontofrio,15,1347,56;92;92;83;67;69;70;89;76;84;100;100,informational:25;navigational:49;commercial:11;transactional:15
Máquinas de lavar com água quente,48,12558,16;23;34;55;99;100;100;98;96;96;96;96,task:5;informational:62;navigational:2;commercial:26;transactional:5
Máquinas de Lavar Brinquedo,18,937,83;99;100;58;66;71;81;56;69;74;58;59,task:2;informational:62;navigational:5;commercial:21;transactional:10
Máquinas de lavar no Brasil,21,2468,82;98;100;58;51;54;55;56;56;68;57;63,task:2;informational:50;navigational:12;commercial:17;transactional:19
Lavadoras de Peças Industriais e Automotivas,17,402,72;99;98;90;90;96;96;98;100;100;87;87,task:7;informational:53;navigational:5;commercial:29;transactional:6
Colombo Máquinas de Lavar,17,763,24;82;93;71;63;48;48;82;66;79;77;100,informational:38;navigational:25;commercial:18;transactional:19
Lavadoras de roupas com centrifuga,16,611,16;62;67;55;66;42;47;100;77;87;80;71,task:1;informational:65;navigational:4;commercial:24;transactional:6
Eletrodomésticos Havan,21,2021,83;100;54;63;63;67;68;60;58;56;57;57,task:1;informational:26;navigational:41;commercial:9;transactional:23
Máquinas de passar e dobrar roupa,34,10117,65;74;48;78;100;100;100;88;87;87;87;86,task:2;informational:63;navigational:4;commercial:20;transactional:11
Lavadoras com secadora,32,10710,41;49;50;28;69;70;70;90;99;99;100;100,task:4;informational:41;navigational:2;commercial:38;transactional:15
Máquinas de lavar no varejo brasileiro,31,5363,86;98;100;68;68;69;69;57;69;69;69;69,task:5;informational:39;navigational:12;commercial:15;transactional:29
Máquinas de lavar frontais,48,7810,91;97;100;51;55;56;56;62;60;60;60;59,informational:46;navigational:5;commercial:35;transactional:14
Lava-louças e lavadoras compactas,24,929,73;100;71;62;68;56;55;73;66;76;64;69,task:2;informational:65;navigational:5;commercial:22;transactional:6
Máquinas de lavar Zema,15,964,13;14;15;27;27;25;22;27;21;24;21;100,task:4;informational:33;navigational:30;commercial:11;transactional:22
Máquinas de lavar Ferreira Costa,16,667,5;37;41;17;15;17;17;100;66;39;30;37,informational:28;navigational:48;commercial:8;transactional:16
Lavadoras Electrolux,192,82842,37;38;40;64;68;68;68;100;99;99;99;99,task:2;informational:43;navigational:16;commercial:21;transactional:18
Esfregadeiras e tábuas de lavar roupas,15,656,25;59;68;42;42;26;30;100;79;61;57;65,task:5;informational:63;navigational:2;commercial:22;transactional:8
Máquinas de lavar 8kg,20,2720,61;73;77;39;42;44;45;100;66;72;60;60,task:4;informational:42;navigational:1;commercial:43;transactional:10
Lavanderia e Limpeza,16,243,86;87;86;89;86;87;87;87;100;100;100;100,task:5;informational:72;navigational:5;commercial:10;transactional:8
Máquinas de lavar 9 kg,17,1041,21;51;55;46;77;61;64;100;60;40;63;93,task:3;informational:49;navigational:1;commercial:43;transactional:4
Máquinas de lavar Havan,18,2106,36;43;46;56;43;44;44;57;58;51;78;100,task:2;informational:38;navigational:28;commercial:10;transactional:22
Máquinas de lavar suspensas,17,1389,25;32;34;50;45;45;48;29;27;71;58;100,task:5;informational:73;navigational:5;commercial:12;transactional:5
Lavadoras de Alta Pressão Lavor,19,1063,71;100;100;94;85;89;88;89;91;96;85;85,task:3;informational:47;navigational:27;commercial:13;transactional:10
Lavadoras e Lava-Louças Hisense,34,11699,12;19;21;30;87;89;89;96;100;100;99;100,task:2;informational:60;navigational:10;commercial:17;transactional:11
Máquinas de lavar Mueller,30,6402,90;100;49;49;68;69;69;74;74;74;74;74,task:5;informational:43;navigational:10;commercial:20;transactional:22
Lavadoras de Alta Pressão Portáteis,46,14095,33;39;47;56;85;86;86;92;100;100;100;100,task:5;informational:41;navigational:4;commercial:33;transactional:17
Lavanderias do Brasil,17,1128,37;39;32;27;22;22;24;91;100;100;100;100,task:2;informational:68;navigational:15;commercial:10;transactional:5
Limpeza de máquinas,18,1041,18;20;28;38;51;51;51;95;95;100;100;99,task:2;informational:68;navigational:5;commercial:15;transactional:10
Passar Roupas e Lavanderia,39,12113,36;25;25;64;91;92;92;100;99;99;99;99,task:26;informational:59;navigational:3;commercial:8;transactional:4
Lavanderias Industriais e Comerciais,17,1171,86;100;100;67;87;90;90;80;80;80;78;78,task:5;informational:45;navigational:4;commercial:34;transactional:12
Ferros de passar roupas,196,167332,32;34;37;42;73;73;73;70;100;100;100;100,task:5;informational:34;navigational:9;commercial:39;transactional:13
escovas de lavar roupas,19,3773,74;86;89;45;92;93;93;97;100;100;99;98,task:2;informational:64;navigational:2;commercial:22;transactional:10
Lavadoras GE,18,1601,12;26;26;29;41;36;38;95;66;100;89;84,task:2;informational:52;navigational:15;commercial:21;transactional:10
Secadoras portáteis de roupas,22,1946,66;88;90;87;92;99;100;97;100;100;94;93,task:3;informational:54;navigational:1;commercial:26;transactional:16
Lavanderia e Passar Roupas,16,233,87;91;100;99;99;99;100;98;100;100;100;100,task:5;informational:53;navigational:9;commercial:22;transactional:11
Lavadoras Elétricas de Alta Pressão,17,90,5;100;85;40;31;25;22;13;14;9;10;10,task:3;informational:38;navigational:4;commercial:28;transactional:27
Móveis para Lava-Louças e Máquina de Lavar,16,1514,85;100;99;56;60;62;63;43;48;48;48;47,task:8;informational:67;navigational:2;commercial:19;transactional:4
Máquinas de Bolhas de Sabão,31,8080,94;100;49;55;52;53;53;64;66;66;66;66,task:2;informational:52;navigational:2;commercial:30;transactional:14
Máquinas de lavar 12 kg,37,8424,57;66;76;80;95;97;97;100;100;100;100;99,task:5;informational:44;navigational:4;commercial:35;transactional:12
Lavadoras de Roupas Silenciosas,18,1062,21;48;54;64;61;61;55;100;84;74;74;78,task:4;informational:46;navigational:3;commercial:40;transactional:7
Lavadoras de alta pressão profissionais,17,569,62;78;78;77;76;95;92;92;95;95;99;100,task:7;informational:32;navigational:11;commercial:39;transactional:11
centrífugas de roupas,106,112411,16;17;18;93;100;100;100;82;82;82;82;82,task:2;informational:50;navigational:5;commercial:32;transactional:11
Sacos para lavar roupas,38,7571,28;37;43;75;85;88;88;100;90;90;90;90,task:8;informational:52;navigational:4;commercial:31;transactional:5
Praxis Eletrodomésticos,16,429,70;58;59;100;94;83;78;91;82;59;58;58,task:5;informational:48;navigational:23;commercial:13;transactional:11
Máquinas industriais,16,1562,34;36;37;37;53;54;54;100;100;100;100;100,task:8;informational:46;navigational:3;commercial:39;transactional:4
Máquinas de passar roupas industriais,27,2969,58;73;75;76;87;90;87;100;79;79;82;81,task:5;informational:52;navigational:4;commercial:28;transactional:11
Lavagem de roupas: manual e máquina,21,1406,100;98;99;93;91;92;92;85;85;85;85;85,task:8;informational:80;navigational:3;commercial:5;transactional:4
Lavadoras Wanke,36,5868,51;57;58;28;59;61;63;89;100;100;98;97,task:2;informational:43;navigational:35;commercial:13;transactional:7
Secadoras industriais de roupas,16,243,71;95;100;89;85;94;80;91;89;77;96;97,informational:59;navigational:1;commercial:30;transactional:10
Lavadoras de alta pressão,284,107601,34;32;34;100;61;61;61;65;59;59;59;59,task:1;informational:46;navigational:4;commercial:38;transactional:11
