name,prompts_count,volume,volume_trend,intents
Air Fryer Recipes,17,35047,3;3;4;4;16;16;16;98;100;100;100;100,task:17;informational:69;navigational:2;commercial:10;transactional:2
Air Fryers in Brazil,16,1540,1;6;8;6;7;3;8;100;37;63;34;38,task:3;informational:51;navigational:11;commercial:28;transactional:7
Air Fryer e Forno,59,31544,18;21;23;86;57;57;57;100;78;78;78;78,task:5;informational:55;navigational:4;commercial:24;transactional:12
Air Fryer Inox,19,1091,80;93;100;76;84;87;82;70;86;86;87;87,task:2;informational:64;navigational:5;commercial:21;transactional:8
Industrial Air Fryers,17,387,86;91;92;87;60;62;100;63;63;66;65;77,task:2;informational:62;navigational:4;commercial:26;transactional:6
Airfryer em Português,32,7309,78;77;80;93;77;76;76;97;100;100;100;100,task:2;informational:71;navigational:10;commercial:12;transactional:5
Airfryer Agratto,18,827,35;38;38;26;30;44;36;100;30;83;77;72,task:2;informational:40;navigational:36;commercial:13;transactional:9
Fritadeiras Airfryer Rotativas,18,1442,58;72;67;89;96;98;100;100;100;100;100;100,task:2;informational:59;navigational:4;commercial:26;transactional:9
Black & Decker Air Fryers,20,1076,73;98;100;99;76;82;83;81;84;84;80;78,task:4;informational:46;navigational:5;commercial:21;transactional:24
air fryers e fornos elétricos,15,658,35;40;42;38;42;41;40;100;93;51;53;57,task:5;informational:73;navigational:3;commercial:12;transactional:7
Deep Fryers,17,665,41;45;45;45;99;100;100;39;37;28;28;29,task:1;informational:52;navigational:4;commercial:34;transactional:9
Air Fryers 6L,20,3439,84;98;100;50;43;46;47;40;61;61;61;60,task:2;informational:53;navigational:4;commercial:30;transactional:11
Fritadeiras Air Fryer e Fornos,26,17475,44;48;52;42;58;58;59;100;75;74;75;74,task:4;informational:51;navigational:3;commercial:35;transactional:7
Frango na Airfryer,97,40991,34;35;39;45;60;61;61;92;100;100;100;100,task:17;informational:73;navigational:3;commercial:5;transactional:2
Fogões com Air Fryer,28,5131,80;85;52;68;89;91;91;86;99;100;95;95,task:2;informational:63;navigational:5;commercial:22;transactional:8
Air Fryers on Amazon,15,240,40;58;100;68;52;54;52;94;83;51;55;65,task:7;informational:29;navigational:28;commercial:12;transactional:24
Cuisinart - Fornos e Air Fryers,17,467,64;81;100;92;96;84;85;92;91;92;84;84,task:3;informational:38;navigational:17;commercial:32;transactional:10
Bolos na Airfryer,112,92901,16;18;34;40;61;61;61;100;100;100;100;100,task:7;informational:73;navigational:2;commercial:12;transactional:6
Air fryer e grill Philips Walita,19,1286,26;32;33;42;100;100;100;55;90;90;91;90,task:2;informational:56;navigational:15;commercial:23;transactional:4
Pastel na Airfryer,61,47083,17;19;20;28;36;36;36;100;100;100;100;100,task:13;informational:76;navigational:3;commercial:6;transactional:2
Air Tech & Platforms,17,347,17;24;31;32;31;20;21;55;60;92;91;100,task:3;informational:45;navigational:23;commercial:20;transactional:9
Ninja Air Fryer,19,3495,78;98;100;67;70;74;75;70;75;75;76;75,task:5;informational:48;navigational:9;commercial:30;transactional:8
Airfryer: vídeos e dicas,20,952,29;31;39;86;86;88;88;100;62;61;61;60,task:8;informational:72;navigational:13;commercial:4;transactional:3
Airfryer Multilaser,25,2736,58;67;45;42;55;56;54;100;84;84;86;86,task:2;informational:63;navigational:5;commercial:22;transactional:8
Air Fryer Kitchen Art,18,1581,40;46;38;37;84;82;83;80;99;100;96;95,task:12;informational:56;navigational:2;commercial:25;transactional:5
Electrolux 4L Air Fryers,15,609,15;44;49;37;37;34;25;56;75;100;49;50,task:3;informational:52;navigational:5;commercial:24;transactional:16
Batata na Airfryer,193,181112,19;19;21;25;32;32;32;80;100;100;100;100,task:12;informational:80;navigational:3;commercial:5
Nuggets na Air Fryer,25,4295,31;35;46;56;94;95;95;90;100;100;100;100,task:8;informational:72;navigational:5;commercial:10;transactional:5
Air Fryer Brasil — Avaliações,16,105,29;44;58;43;100;70;95;79;66;57;55;70,task:3;informational:63;navigational:4;commercial:26;transactional:4
Microondas com Airfryer,40,6606,21;29;29;35;99;100;100;64;71;72;72;70,task:2;informational:53;navigational:4;commercial:32;transactional:9
Fritadeiras Elétricas (Air Fryers),499,584548,17;16;18;25;100;100;100;30;39;39;39;39,task:5;informational:46;navigational:2;commercial:33;transactional:14
Air Fryer Steak Recipes,18,1850,17;18;19;36;41;41;42;100;100;100;100;99,task:5;informational:68;navigational:9;commercial:10;transactional:8
Forno Brastemp com Air Fryer,18,397,41;65;70;59;55;57;56;100;52;55;82;86,task:3;informational:46;navigational:12;commercial:20;transactional:19
Sam's Club Air Fryers,16,115,24;45;51;31;31;31;22;100;66;40;23;27,task:3;informational:37;navigational:27;commercial:18;transactional:15
Churrasco na Air Fryer,27,7733,19;23;24;77;22;23;24;96;100;100;100;100,task:5;informational:77;navigational:5;commercial:5;transactional:8
Bife na Air Fryer,29,6094,83;94;95;53;55;58;59;90;99;99;100;100,task:5;informational:82;navigational:2;commercial:6;transactional:5
Nuggets na Airfryer,37,6984,63;67;85;85;86;87;87;95;100;100;100;100,task:12;informational:73;navigational:5;commercial:8;transactional:2
Pudim na Air Fryer,20,6050,89;97;100;95;43;44;44;50;48;48;49;48,task:2;informational:83;navigational:5;commercial:5;transactional:5
Receitas na AirFryer,26,2190,57;62;62;68;67;68;68;35;70;68;100;80,task:5;informational:80;navigational:2;commercial:8;transactional:5
Airfryer: uso e cura,59,15827,52;36;39;49;92;93;93;100;99;99;100;99,informational:83;navigational:5;commercial:10;transactional:2
Air Fryer Vintage e Retro,16,671,44;58;60;60;69;73;73;100;99;87;87;85,task:3;informational:52;navigational:1;commercial:22;transactional:22
Air Fryer 12V/24V,18,416,23;25;26;29;27;27;72;32;67;100;96;99,task:6;informational:49;navigational:3;commercial:39;transactional:3
Empadas fitness na air fryer,23,1819,72;82;81;78;60;61;62;71;99;100;100;100,task:10;informational:75;navigational:5;commercial:8;transactional:2
Rabanadas na Airfryer,15,1757,81;93;95;94;97;100;100;38;38;42;39;38,task:2;informational:79;navigational:2;commercial:8;transactional:9
Airfryer de Brinquedo,15,183,52;100;98;75;84;95;77;100;82;45;46;46,task:3;informational:56;navigational:8;commercial:16;transactional:17
amendoim na airfryer,32,7981,54;65;68;73;78;79;79;99;100;100;100;100,task:2;informational:78;navigational:5;commercial:10;transactional:5
Pudim na Airfryer,35,12605,91;97;100;51;86;87;87;69;75;75;75;75,task:5;informational:79;navigational:6;commercial:8;transactional:2
Airfryer 4 litros,30,4320,55;76;80;79;78;83;83;89;100;100;100;99,task:2;informational:56;navigational:2;commercial:28;transactional:12
Airfryer na Havan,16,1470,85;99;100;98;48;50;50;55;66;66;67;66,task:2;informational:26;navigational:38;commercial:5;transactional:29
Assadeiras para airfryer,19,481,53;59;58;57;97;100;99;45;56;41;41;44,task:5;informational:42;navigational:1;commercial:38;transactional:14
fornos com air fryer Fischer,16,201,32;44;43;47;48;46;45;90;100;54;52;53,task:3;informational:47;navigational:11;commercial:21;transactional:18
Hambúrguer na AirFryer,69,21734,46;45;46;64;94;95;95;99;100;100;100;100,task:12;informational:78;navigational:2;commercial:8
Air Fryer: Receitas e Usos,351,189428,87;87;87;91;95;95;95;99;100;100;100;100,task:3;informational:76;navigational:5;commercial:11;transactional:5
Melhores Air Fryers: Custo-Benefício,51,24858,12;16;19;74;70;70;71;100;100;100;100;100,task:5;informational:33;navigational:1;commercial:59;transactional:2
Air Fryer WAP Brasil,38,21503,54;58;63;66;96;96;96;100;78;78;78;78,task:2;informational:37;navigational:30;commercial:20;transactional:11
Pipoca na Airfryer,49,22018,30;32;30;65;48;48;48;100;99;99;99;99,task:10;informational:78;navigational:2;commercial:2;transactional:8
Couve-Flor na Airfryer,21,5566,84;96;99;98;99;100;100;58;83;84;83;82,task:2;informational:84;navigational:3;commercial:5;transactional:6
Air fryers com duas gavetas,17,1173,84;100;100;96;95;98;99;46;48;47;47;47,task:2;informational:64;navigational:2;commercial:22;transactional:10
Air Fryers 5 Litros,36,4670,55;60;62;28;100;100;100;25;28;28;28;28,task:2;informational:49;navigational:5;commercial:31;transactional:13
Berinjela na Airfryer,32,28013,98;100;45;47;47;47;47;62;99;99;99;99,task:8;informational:75;navigational:2;commercial:10;transactional:5
Airfryer Philco Brasil,21,1487,87;100;100;97;45;49;49;47;51;51;83;83,task:2;informational:48;navigational:14;commercial:28;transactional:8
Air Fryer Vermelha,17,1571,69;97;100;96;76;81;84;71;79;79;79;78,task:3;informational:41;navigational:11;commercial:32;transactional:13
Legumes na Airfryer,25,3327,84;99;100;96;44;47;48;69;62;62;63;62,task:17;informational:78;navigational:3;commercial:2
Cuscuz na Airfryer,18,1109,90;100;100;99;56;60;60;63;83;83;83;84,task:5;informational:83;navigational:5;commercial:5;transactional:2
Airfryer no Carrefour,16,1123,58;100;95;88;69;71;66;89;39;40;39;41,task:2;informational:44;navigational:29;commercial:10;transactional:15
Airfryer Electrolux EAF 3 2L,21,1749,12;30;31;29;30;14;14;100;27;28;46;51,task:7;informational:50;navigational:11;commercial:16;transactional:16
Air Fryer no Black Friday,17,3222,33;42;48;50;46;46;54;86;86;91;100;96,task:2;informational:41;navigational:1;commercial:42;transactional:14
