name,prompts_count,volume,volume_trend,intents
Aspiradores e Extratoras,19,763,58;71;72;75;73;80;79;96;98;100;100;100,task:5;informational:27;navigational:4;commercial:52;transactional:12
Aspiradores e Sopradores de Pó,21,852,86;98;100;49;46;50;50;45;54;57;52;52,task:10;informational:39;navigational:4;commercial:37;transactional:10
Aspiradores industriais,23,3341,85;99;100;54;66;69;69;68;77;77;76;75,task:5;informational:43;navigational:7;commercial:34;transactional:11
Vassouras e Aspiradores,16,545,70;97;100;96;82;88;87;91;90;93;96;95,task:3;informational:60;navigational:5;commercial:25;transactional:7
Aspiradores manuais de pó,17,517,51;59;38;34;37;41;52;100;87;73;65;59,task:5;informational:54;navigational:7;commercial:26;transactional:8
Aspiradores de água e pó,21,1449,94;99;100;100;35;36;37;24;29;29;35;41,task:5;informational:48;navigational:5;commercial:22;transactional:20
Aspiradores de Pó Americanas,15,166,36;61;71;66;69;56;48;100;87;43;41;45,task:3;informational:17;navigational:45;commercial:11;transactional:24
Aspiradores de secreção portáteis,45,10166,47;55;29;59;90;92;91;100;100;99;99;99,task:2;informational:55;navigational:2;commercial:29;transactional:12
Aspiradores Oster,17,816,78;100;97;89;87;96;98;95;98;98;93;93,task:3;informational:50;navigational:7;commercial:18;transactional:22
Aspiradores Bosch,16,182,36;77;100;51;51;48;68;49;46;43;43;48,task:7;informational:43;navigational:4;commercial:32;transactional:14
Robôs Aspiradores Inteligentes,19,1244,68;90;92;85;83;88;84;100;98;98;95;94,task:2;informational:62;navigational:2;commercial:24;transactional:10
Aspiradores de Pó Mondial,35,8304,91;97;100;61;70;70;71;66;67;67;67;66,informational:45;navigational:26;commercial:23;transactional:6
Aspiradores de Folhas,15,137,15;23;30;27;79;100;23;24;24;84;76;92,task:7;informational:43;navigational:4;commercial:32;transactional:14
Aspiradores Vivenso,17,418,44;67;92;72;71;59;59;100;91;98;63;64,task:3;informational:25;navigational:10;commercial:49;transactional:13
Robo Aspirador e Limpeza,216,167007,35;35;37;73;89;89;89;100;96;96;96;96,task:2;informational:51;navigational:1;commercial:37;transactional:9
Aspiradores Electrolux,105,112803,22;22;24;28;37;37;37;30;100;100;100;100,task:3;informational:34;navigational:19;commercial:22;transactional:22
Aspiradores WAP,43,14005,91;94;98;43;100;100;100;58;55;55;55;55,task:1;informational:52;navigational:11;commercial:18;transactional:18
Bocais de Aspirador,16,205,51;74;100;83;73;73;63;78;73;74;74;75,task:10;informational:51;navigational:1;commercial:32;transactional:6
