name,prompts_count,volume,volume_trend,intents
Geladeiras e Refrigeradores Frost Free e Inox,829,715796,27;27;29;35;100;100;100;48;46;46;46;46,task:2;informational:43;navigational:6;commercial:37;transactional:12
Fritadeiras Elétricas (Air Fryers),499,584548,17;16;18;25;100;100;100;30;39;39;39;39,task:5;informational:46;navigational:2;commercial:33;transactional:14
"Electrolux no Brasil: Geladeiras, Serviços e Lojas",151,217538,88;89;94;95;99;99;99;99;100;100;100;100,task:3;informational:45;navigational:30;commercial:12;transactional:10
Tabuas de frios,150,160656,58;49;58;87;100;100;100;90;91;91;91;91,task:12;informational:72;navigational:4;commercial:12
Geladeiras Brastemp,211,116014,66;67;71;76;94;94;94;86;100;100;100;100,task:2;informational:37;navigational:23;commercial:16;transactional:22
Geladinhos Gourmet,115,114839,27;28;29;45;51;51;51;74;100;100;100;100,task:6;informational:64;navigational:9;commercial:13;transactional:8
Freezers e Geladeiras,152,113169,66;67;70;78;88;88;88;99;100;100;100;100,task:5;informational:45;navigational:4;commercial:31;transactional:15
Armazenamento de leite materno,198,104735,86;86;87;93;93;93;93;100;100;100;100;100,informational:89;navigational:3;commercial:7;transactional:1
Ar Condicionado LG Inverter,157,89177,45;45;54;56;100;100;100;100;87;87;87;87,task:5;informational:34;navigational:15;commercial:27;transactional:19
Frigobar: Preços e Promoções,80,70598,60;61;65;86;100;100;100;97;95;95;95;95,informational:50;navigational:2;commercial:34;transactional:14
Geladeiras side by side,74,64112,76;76;35;64;100;100;100;98;94;94;94;94,task:2;informational:53;navigational:2;commercial:30;transactional:13
Gelo e Suprimentos Gelados no Brasil,59,55541,17;20;95;100;31;31;31;99;100;100;100;100,task:10;informational:50;navigational:4;commercial:22;transactional:14
Envelopamento e adesivos para geladeiras,68,54488,41;42;34;74;100;100;100;94;95;95;95;95,task:8;informational:52;navigational:4;commercial:24;transactional:12
Geladeira Não gela: Vazamento de gás e falhas,173,53308,71;72;72;81;95;95;95;96;100;100;100;100,task:5;informational:73;navigational:2;commercial:6;transactional:14
Sanduícheira e Grill – Eletrodomésticos,92,52912,77;78;80;88;97;97;97;100;100;100;100;100,task:2;informational:33;navigational:9;commercial:40;transactional:16
Chaleiras elétricas,93,51885,48;49;51;57;100;100;100;64;63;63;63;63,task:8;informational:37;navigational:4;commercial:35;transactional:16
Geladeiras Consul,102,50804,80;79;82;88;89;89;89;98;100;100;100;100,task:3;informational:50;navigational:10;commercial:21;transactional:16
Máquinas de gelo,83,49986,36;38;41;46;63;63;63;99;100;100;100;100,task:8;informational:42;navigational:4;commercial:34;transactional:12
Termostatos de Geladeira,46,47539,23;22;24;85;97;97;97;100;100;100;100;100,task:2;informational:69;navigational:5;commercial:14;transactional:10
Geladeiras Electrolux no Brasil,121,46843,51;52;55;61;69;69;69;78;99;100;100;100,task:1;informational:54;navigational:15;commercial:15;transactional:15
Frost Free e Degelo em Geladeiras,99,44476,65;81;84;95;88;89;89;99;100;100;100;100,task:5;informational:78;navigational:5;commercial:7;transactional:5
Glacê para bolos,84,43220,20;22;24;42;73;74;74;100;93;93;93;93,task:4;informational:77;navigational:5;commercial:10;transactional:4
Cervejeiras e Geladeiras para Cerveja,59,41007,83;85;93;100;95;95;95;99;100;100;100;100,task:2;informational:46;navigational:2;commercial:39;transactional:11
Geladeiras Midea,67,36637,38;45;46;69;88;89;89;87;100;100;100;100,task:2;informational:48;navigational:17;commercial:21;transactional:12
Geladeiras Panasonic no Brasil,95,32604,99;100;43;47;50;50;50;55;53;53;53;53,informational:50;navigational:9;commercial:28;transactional:13
Câmaras Frias e Refrigeração Comercial,89,29860,49;52;57;75;83;84;84;100;100;99;99;99,task:3;informational:59;navigational:4;commercial:28;transactional:6
Coolers de Vinho e Bebidas,32,28677,17;20;24;85;86;86;87;99;100;100;100;100,task:5;informational:61;navigational:4;commercial:22;transactional:8
Eletrodomésticos para Cozinha,70,27782,35;38;50;72;80;80;80;93;100;100;100;100,task:2;informational:62;navigational:2;commercial:26;transactional:8
Relés e protetores térmicos para geladeiras,73,27756,15;19;29;56;79;79;79;99;100;100;100;100,task:10;informational:54;navigational:5;commercial:23;transactional:8
Motores de Geladeira,53,27302,18;22;25;36;98;98;98;100;99;99;99;99,task:2;informational:64;navigational:5;commercial:19;transactional:10
Geladeiras com freezer embaixo,60,26686,98;100;46;51;64;64;64;77;75;75;75;75,task:5;informational:39;navigational:4;commercial:42;transactional:10
Caixas térmicas e coolers,55,26472,68;69;72;80;90;90;90;100;100;100;100;100,task:2;informational:40;navigational:4;commercial:35;transactional:19
Geladeira sem odor,81,24770,100;97;95;94;100;100;100;94;96;97;97;96,task:8;informational:77;navigational:5;commercial:8;transactional:2
Expositores de Geladeira,22,24750,94;97;100;85;82;82;82;83;82;82;82;82,task:5;informational:43;navigational:4;commercial:38;transactional:10
Geladeiras: transporte e ligar após mudança,96,24700,91;94;93;100;100;100;100;96;98;98;98;98,task:10;informational:71;navigational:5;commercial:10;transactional:4
Geladeiras: melhores marcas e custo-benefício,67,24218,24;27;33;45;88;89;89;98;100;100;100;100,task:5;informational:42;navigational:1;commercial:48;transactional:4
Vedação de Geladeira: borrachas e gaxetas,49,23867,21;24;33;67;91;91;91;99;100;100;100;100,task:5;informational:63;navigational:4;commercial:16;transactional:12
Lavadoras e Secadoras Electrolux,66,22109,44;49;54;86;100;100;100;93;93;93;93;93,task:5;informational:42;navigational:11;commercial:22;transactional:20
Temperatura da Geladeira,80,21710,94;97;100;99;92;92;92;94;94;94;94;94,task:5;informational:79;navigational:5;commercial:5;transactional:6
Geladeiras Samsung no Brasil,62,21652,99;100;100;43;42;42;42;62;50;50;50;50,task:2;informational:50;navigational:8;commercial:18;transactional:22
Geladeiras de 3 portas,70,21573,99;100;44;49;58;58;58;60;54;54;54;54,task:8;informational:54;navigational:4;commercial:26;transactional:8
Frigobares Consul,41,21522,97;100;45;50;63;63;63;97;97;99;98;98,informational:38;navigational:30;commercial:23;transactional:9
Conserto de Geladeiras e Assistência Técnica,34,21060,62;67;71;72;63;64;64;100;100;100;100;100,task:5;informational:21;navigational:18;commercial:18;transactional:38
Brastemp Retrô: Frigobar e Geladeira,46,20987,100;97;42;46;48;48;48;44;44;44;44;44,task:2;informational:41;navigational:26;commercial:17;transactional:14
Liquidificadores Mondial,63,20753,74;77;81;86;94;94;94;100;95;95;95;95,task:2;informational:42;navigational:14;commercial:30;transactional:12
Geladeiras Electrolux 240–260 litros,76,19852,53;48;54;57;96;97;97;95;100;100;100;100,task:2;informational:50;navigational:5;commercial:30;transactional:13
Gás de Geladeira,73,18106,69;68;71;83;92;93;93;100;100;100;100;100,task:2;informational:74;navigational:5;commercial:12;transactional:7
Chiller e Refrigeração Industrial,38,18104,31;75;75;83;99;100;100;96;97;97;97;97,task:2;informational:68;navigational:6;commercial:18;transactional:6
Coldres de arma e acessórios,24,17843,17;23;24;96;29;30;30;100;100;100;100;100,task:8;informational:60;navigational:8;commercial:16;transactional:8
Geladeiras frost free Consul 300–342 L,65,16502,41;46;50;50;100;100;100;86;87;87;87;87,task:2;informational:52;navigational:9;commercial:23;transactional:14
Geladeiras: barulhos e falhas comuns,70,16378,73;77;81;93;96;97;97;97;100;100;100;100,task:4;informational:80;navigational:5;commercial:7;transactional:4
Geladeiras LG,37,16014,93;96;100;46;48;48;48;53;64;64;64;64,task:2;informational:49;navigational:13;commercial:24;transactional:12
Geladeiras Consul com gelo seco,50,15804,23;29;32;67;81;82;82;99;100;100;100;100,task:5;informational:55;navigational:4;commercial:27;transactional:9
Conservação de Alimentos na Geladeira,70,15494,89;91;97;98;96;97;97;95;100;100;100;100,task:2;informational:83;navigational:5;commercial:8;transactional:2
Freezers Electrolux pt,38,15490,92;97;100;46;44;46;46;46;97;97;98;98,task:2;informational:19;navigational:31;commercial:15;transactional:33
Peças para Geladeira e Fogão Electrolux/Consul,39,14892,29;35;40;65;90;90;91;96;100;100;100;100,task:5;informational:30;navigational:12;commercial:34;transactional:19
Sobremesas geladas,31,14815,40;46;50;48;50;51;51;84;100;100;100;100,task:8;informational:72;navigational:2;commercial:10;transactional:8
Geladeiras Electrolux 2 portas,45,14650,98;100;46;46;45;45;45;48;48;48;48;48,task:2;informational:42;navigational:25;commercial:17;transactional:14
Geladeiras Bosch,31,14193,27;30;32;70;79;80;82;99;100;100;100;100,task:2;informational:62;navigational:8;commercial:21;transactional:7
Geladeiras 2 portas e side by side,38,14122,54;60;71;84;88;88;88;100;95;95;95;95,task:2;informational:54;navigational:2;commercial:32;transactional:10
Pintura de Geladeiras,56,14077,40;51;52;76;94;95;95;100;99;100;99;99,task:15;informational:63;navigational:5;commercial:12;transactional:5
Máquinas Galoneira,33,13883,24;31;32;34;87;88;88;100;100;100;100;100,task:5;informational:49;navigational:7;commercial:24;transactional:15
Batedeiras KitchenAid,36,13764,93;97;100;46;46;47;47;56;57;57;57;57,task:3;informational:38;navigational:15;commercial:29;transactional:15
Geladeiras e Freezers,24,13701,18;23;24;44;80;81;81;90;100;100;100;100,task:6;informational:69;navigational:4;commercial:16;transactional:5
Estabilizadores e Nobreaks para Geladeiras,31,13513,33;39;37;40;75;76;77;99;100;100;100;100,task:5;informational:60;navigational:3;commercial:27;transactional:5
Limpeza de Geladeiras Inox,58,13498,94;94;95;100;83;84;84;97;97;97;97;96,task:3;informational:81;navigational:5;commercial:6;transactional:5
Grafia de Cooler em PT,19,13407,24;28;28;88;97;99;99;99;100;100;100;100,task:3;informational:67;navigational:5;commercial:16;transactional:9
