name,prompts_count,volume,volume_trend,intents
Geladeiras e Refrigeradores no Brasil,20,1534,29;28;28;29;57;43;52;100;32;38;40;42,task:3;informational:45;navigational:3;commercial:41;transactional:8
Geladeiras Electrolux,16,3010,8;9;8;8;8;26;20;17;15;21;18;100,informational:37;navigational:21;commercial:23;transactional:19
Geladeiras Pequenas e Promoções,16,3086,10;14;11;9;9;9;29;53;30;100;81;82,task:10;informational:22;navigational:7;commercial:46;transactional:15
Geladeiras Brastemp,16,1617,9;9;9;12;13;12;11;22;10;10;94;100,task:3;informational:35;navigational:35;commercial:8;transactional:19
Geladeiras para Carro,15,71,15;100;92;68;16;13;10;17;13;15;13;13,task:7;informational:25;navigational:3;commercial:47;transactional:18
Geladeiras Duas Portas,15,2163,26;16;19;21;98;62;41;69;64;100;88;97,task:2;informational:43;navigational:22;commercial:24;transactional:9
Conserto de Geladeiras,16,370,44;43;35;47;47;54;51;100;82;28;21;39,task:2;informational:49;navigational:4;commercial:36;transactional:9
Geladeiras Consul,15,49,2;3;2;25;25;100;59;21;16;2;2;3,task:3;informational:56;navigational:18;commercial:19;transactional:4
Geladeiras na Magazine Luiza,15,145,5;6;5;100;100;97;30;59;81;4;4;7,task:1;informational:18;navigational:65;commercial:4;transactional:12
Máquinas de Gelo,17,173,23;30;86;63;100;84;83;100;52;57;56;64,task:4;informational:44;navigational:1;commercial:31;transactional:20
Geladeiras de 3 portas,15,6104,30;20;29;24;24;14;21;50;40;100;69;92,task:10;informational:29;commercial:53;transactional:8
Eletrodomésticos Brasil,16,3860,5;5;6;4;10;10;17;54;39;100;80;87,task:2;informational:51;navigational:9;commercial:31;transactional:7
Elettrodomestici Frigorifero e Congelatore,16,3974,4;4;34;44;44;38;26;58;53;100;74;86,task:2;informational:37;navigational:9;commercial:43;transactional:9
Produtos de Cuidados Pessoais e Alimentação,16,51,47;39;42;52;49;80;68;100;85;4;4;4,task:3;informational:48;navigational:4;commercial:32;transactional:13
Congeladores y Freezers,17,5522,56;41;48;14;27;32;26;9;95;100;52;63,task:5;informational:52;navigational:4;commercial:28;transactional:11
Geladeiras Samsung com Tela,15,3611,70;41;67;67;55;43;32;95;70;100;71;59,task:3;informational:35;navigational:17;commercial:27;transactional:18
Geladeiras e Ar Condicionado Casas Bahia,15,114,2;3;3;100;100;14;11;6;7;4;4;6,task:3;informational:18;navigational:64;commercial:10;transactional:5
Ledničky a chladničky,16,1664,59;45;53;46;46;34;39;100;75;66;54;57,task:2;informational:80;navigational:5;commercial:10;transactional:3
Ímãs de Geladeira Personalizados,17,271,81;78;78;81;100;93;74;72;64;60;59;62,task:10;informational:43;navigational:4;commercial:32;transactional:11
Secadores e centrifugadoras de salada,16,578,100;69;18;21;22;27;16;52;51;63;31;29,task:5;informational:60;navigational:5;commercial:15;transactional:15
Refrigeradores y Neveras,56,8769,77;78;95;100;96;88;89;99;79;79;79;79,task:3;informational:45;navigational:7;commercial:34;transactional:11
Congeladores y refrigeradores para helados y paletas,16,597,6;7;8;7;39;100;61;87;70;22;16;28,task:10;informational:32;navigational:4;commercial:36;transactional:18
Chaleiras Elétricas,18,327,50;51;53;92;88;100;95;100;93;84;66;76,task:5;informational:42;navigational:4;commercial:37;transactional:12
Tábua de Frios e Petiscos,18,4223,13;14;14;30;26;26;26;27;28;100;77;99,task:5;informational:65;navigational:5;commercial:16;transactional:9
Frigidere și electrocasnice de răcire,15,6494,33;18;23;45;45;32;23;59;64;44;39;100,task:5;informational:55;navigational:2;commercial:30;transactional:8
Heladeras y precios,17,5540,65;40;46;21;32;38;38;61;49;100;96;99,task:3;informational:42;navigational:1;commercial:45;transactional:9
Prática e Equipamentos de Cozinha,16,599,100;71;63;19;15;98;88;88;77;41;37;62,task:7;informational:55;navigational:13;commercial:14;transactional:11
Batedeiras e Utensílios de Cozinha,18,333,49;50;54;94;66;64;100;57;36;39;39;43,informational:60;navigational:4;commercial:26;transactional:10
Ar Condicionado LG,15,338,34;30;43;29;5;6;48;9;5;100;14;8,task:3;informational:28;navigational:32;commercial:18;transactional:19
Refrigerator and Fridge Terminology,20,694,28;43;90;100;31;31;32;32;37;37;37;37,task:8;informational:73;navigational:5;commercial:11;transactional:3
Eletrodomésticos Samsung,15,5820,64;36;45;28;28;22;25;100;74;50;42;70,task:3;informational:28;navigational:32;commercial:11;transactional:26
Frigoriferi Combi,15,4595,8;5;40;36;36;19;11;19;42;59;80;100,task:3;informational:48;navigational:4;commercial:37;transactional:8
Gabinetes de Cozinha,15,19,12;7;6;14;14;13;13;73;100;1;1;1,task:10;informational:35;navigational:3;commercial:47;transactional:5
Electrodomésticos de neveras y frigoríficos,23,2586,42;42;37;52;88;85;71;100;63;73;51;52,task:2;informational:45;navigational:2;commercial:41;transactional:10
Hieleras y Enfriadores Portátiles,19,797,20;17;17;16;17;16;38;54;78;100;72;18,task:8;informational:50;navigational:3;commercial:26;transactional:13
sanduicheiras eletricas,15,2567,2;3;3;3;4;3;17;90;100;46;42;48,task:5;informational:30;navigational:2;commercial:58;transactional:5
banheiras de gelo infláveis e para banho de gelo,16,187,8;6;6;6;6;100;74;2;2;13;10;11,task:3;informational:48;navigational:1;commercial:37;transactional:11
pipoqueiras elétricas,16,223,17;15;64;79;100;76;32;31;16;18;16;15,informational:43;navigational:1;commercial:45;transactional:11
Refrigeradoras LG,16,900,21;17;18;15;14;63;73;27;25;100;84;30,task:1;informational:46;navigational:14;commercial:17;transactional:22
Calendários Magnéticos para Geladeira,17,317,29;80;21;11;15;13;12;100;47;53;39;49,task:2;informational:58;navigational:5;commercial:15;transactional:20
Kitchenaid Brasil,16,81,63;100;37;29;29;29;39;37;86;88;26;27,task:3;informational:17;navigational:48;commercial:8;transactional:24
faqueiros e talheres,16,172,12;12;76;79;100;85;53;7;8;8;11;11,task:3;informational:47;navigational:9;commercial:33;transactional:8
Italian Vocabulary: Refrigerator,17,260,48;59;62;60;58;59;45;45;47;47;47;100,task:27;informational:64;navigational:1;commercial:7;transactional:1
Fritadeiras Elétricas e Air Fryers,15,188,27;27;60;49;13;12;16;18;85;100;22;18,task:10;informational:41;navigational:1;commercial:34;transactional:14
Guarda-Roupas e Móveis de Armazenamento,16,2277,26;25;25;27;43;49;62;100;33;36;64;83,task:8;informational:29;navigational:3;commercial:52;transactional:8
Refrigeradores e Filtros de Água Brastemp B Blend,17,324,15;16;16;15;61;100;15;14;13;15;15;19,task:5;informational:43;navigational:11;commercial:35;transactional:6
Celeiro Loja e Serviços,16,753,29;42;44;55;55;91;78;65;60;61;62;100,task:2;informational:33;navigational:45;commercial:9;transactional:11
Cafeteiras Elétricas,15,448,3;4;100;77;35;8;5;17;48;50;31;30,task:10;informational:28;navigational:3;commercial:47;transactional:12
Armários de Cozinha,15,185,25;29;29;28;26;26;85;95;67;92;100;23,task:3;informational:39;navigational:5;commercial:40;transactional:13
Gelato e Pans,15,90,30;26;92;73;100;21;20;16;17;17;16;16,task:8;informational:48;navigational:9;commercial:31;transactional:4
Torradeiras Elétricas,15,188,18;33;85;75;75;86;23;47;100;94;37;41,task:10;informational:41;navigational:4;commercial:28;transactional:17
Hűtőszekrények és hűtőgépek,16,105,52;28;34;28;51;63;46;82;100;4;4;4,task:7;informational:54;navigational:14;commercial:18;transactional:7
utensílios de cozinha,16,1642,22;42;49;50;57;49;42;63;57;55;63;100,task:2;informational:55;navigational:4;commercial:31;transactional:8
Lixeiras de Cozinha,15,314,9;8;9;60;100;92;71;52;36;16;11;13,task:5;informational:57;navigational:4;commercial:22;transactional:12
Máquinas de Lavar Roupas,22,5512,28;22;23;43;33;31;25;29;41;51;100;87,task:8;informational:44;navigational:2;commercial:41;transactional:5
Réfrigérateurs et Congélateurs,15,4691,58;36;14;12;28;26;18;39;80;100;83;93,task:2;informational:43;navigational:6;commercial:40;transactional:9
Productos y mantenimiento de refrigeradores,21,1291,28;28;19;34;40;46;45;88;100;55;49;60,task:2;informational:56;navigational:5;commercial:24;transactional:13
Home Appliances and Freezers,18,7638,41;16;15;10;13;45;29;3;6;7;88;100,task:5;informational:27;navigational:7;commercial:17;transactional:44
Ar Condicionado Portátil,19,1809,10;13;14;14;20;34;27;32;88;100;34;34,task:4;informational:49;navigational:4;commercial:35;transactional:8
Congeladores Verticales,15,4121,24;14;25;21;20;4;3;67;78;100;60;82,task:6;informational:38;navigational:6;commercial:30;transactional:20
Secadoras de Roupas no Brasil,17,4101,4;4;31;29;23;17;25;4;35;45;75;100,task:3;informational:46;navigational:4;commercial:42;transactional:5
Máquinas de Sorvete e Equipamentos para Sorveterias,16,308,13;58;41;38;82;100;74;55;10;10;11;11,task:2;informational:40;navigational:2;commercial:40;transactional:16
Climatisation et appareils électroménagers Frigidaire,16,2553,7;4;38;32;32;5;7;1;100;100;65;80,task:3;informational:49;navigational:18;commercial:12;transactional:18
Secadores de cabelo,17,1398,73;47;40;49;100;67;55;83;56;57;55;77,task:2;informational:48;navigational:7;commercial:34;transactional:9
Mini Fridge and Freezer Appliances,17,1366,94;62;68;62;54;100;63;3;71;75;42;53,task:3;informational:44;navigational:8;commercial:26;transactional:19
Neveras portátiles y mini refrigeradores,21,430,9;28;38;33;26;25;13;5;89;100;9;10,task:10;informational:41;navigational:2;commercial:27;transactional:20
Móveis e acessórios para penteadeiras,15,1971,12;8;5;4;5;80;67;34;74;94;72;100,task:10;informational:37;navigational:4;commercial:35;transactional:14
Temperatura de Refrigeradores y Congeladores,48,9529,61;48;55;58;70;56;44;69;88;100;72;85,task:8;informational:75;navigational:6;commercial:5;transactional:6
Jogo de Panelas e Panelas de Cerâmica,15,1653,26;26;26;26;22;54;47;66;61;100;83;85,task:8;informational:29;navigational:3;commercial:45;transactional:15
aventais de cozinha,16,324,53;77;64;57;57;51;14;100;74;38;25;35,task:10;informational:25;navigational:4;commercial:43;transactional:18
Gabinetes para Computadores Gamer e Mid Tower,16,624,100;77;59;53;100;79;39;30;22;29;33;62,informational:34;navigational:3;commercial:57;transactional:6
modelo mini fridge and refrigerator,15,5572,6;20;11;9;13;12;10;6;93;100;50;69,task:3;informational:42;navigational:7;commercial:40;transactional:8
