name,prompts_count,volume,volume_trend,intents
Liquidificadores Fun Kitchen,15,1171,14;17;17;17;27;34;31;68;52;100;100;91,task:7;informational:30;navigational:30;commercial:24;transactional:9
Liquidificadores com Processador,16,2101,66;99;99;85;85;89;90;98;96;96;100;99,task:7;informational:42;navigational:1;commercial:39;transactional:11
Liquidificadores Multifuncionais,15,47,7;72;100;55;48;46;78;23;19;12;12;12,task:3;informational:49;navigational:5;commercial:25;transactional:18
Liquidificadores Portáteis,34,17041,76;82;90;94;95;95;95;100;100;100;100;100,task:8;informational:38;navigational:4;commercial:38;transactional:12
Liquidificadores com Espremedor,16,402,33;36;37;60;86;87;100;83;56;34;34;34,task:2;informational:51;navigational:2;commercial:36;transactional:9
Liquidificadores portáteis e potentes,19,1524,30;17;19;20;99;100;100;100;32;33;30;32,task:5;informational:35;navigational:3;commercial:45;transactional:12
Liquidificadores inox,19,1354,84;96;100;97;46;47;49;75;65;66;62;62,task:2;informational:60;navigational:6;commercial:21;transactional:11
Liquidificadores Spolu,16,179,17;73;100;53;49;42;31;42;33;23;23;22,task:3;informational:37;navigational:28;commercial:11;transactional:21
Liquidificadores Blendtec,16,222,31;62;70;50;49;56;64;100;87;58;57;59,task:3;informational:28;navigational:10;commercial:29;transactional:30
Liquidificadores e sucos,28,3997,41;46;48;69;70;72;72;100;98;98;98;98,task:5;informational:65;navigational:2;commercial:18;transactional:10
Processadores de Alimentos com Liquidificador,92,156351,20;21;23;40;46;46;46;96;100;100;100;100,task:2;informational:45;navigational:4;commercial:34;transactional:15
Liquidificador e Mixer,21,2267,87;100;59;65;97;100;99;92;89;89;88;87,task:2;informational:50;navigational:4;commercial:38;transactional:6
Liquidificadores Mondial,63,20753,74;77;81;86;94;94;94;100;95;95;95;95,task:2;informational:42;navigational:14;commercial:30;transactional:12
Liquidificadores com filtro,26,2317,23;29;42;56;45;46;47;93;74;74;96;100,task:2;informational:63;navigational:2;commercial:22;transactional:11
Liquidificadores de vidro,98,95339,20;21;31;45;72;72;72;73;100;100;100;100,task:2;informational:36;navigational:9;commercial:42;transactional:11
Liquidificadores com copo de vidro,27,1852,85;99;100;55;52;55;56;42;46;45;46;45,task:2;informational:60;navigational:2;commercial:25;transactional:11
Garrafa com Liquidificador,18,403,64;80;91;89;82;86;100;86;72;69;70;70,task:10;informational:53;navigational:5;commercial:20;transactional:12
Liquidificadores Ultra,15,434,14;27;38;32;35;37;32;100;82;46;41;41,task:7;informational:54;navigational:4;commercial:31;transactional:4
Liquidificadores Philco,15,635,86;99;100;97;94;95;94;59;59;59;60;59,task:2;informational:49;navigational:15;commercial:22;transactional:12
Liquidificadores Havan,19,1541,85;99;100;53;50;53;54;71;71;62;61;91,task:1;informational:54;navigational:26;commercial:7;transactional:12
Liquidificadores Electrolux,29,4588,74;94;100;100;95;97;97;99;100;99;99;98,task:1;informational:50;navigational:11;commercial:23;transactional:15
Liquidificadores Silenciosos,18,934,56;69;71;58;70;70;79;100;96;82;83;80,task:2;informational:53;navigational:2;commercial:32;transactional:11
Liquidificadores de plástico,18,186,16;82;84;75;25;22;24;96;100;31;33;32,task:3;informational:49;navigational:4;commercial:30;transactional:14
Liquidificadores de Açaí,21,1362,36;49;60;68;66;60;57;77;81;98;96;100,task:5;informational:41;navigational:4;commercial:37;transactional:13
Liquidificador Philco Samurai,17,372,43;93;100;75;71;59;48;39;39;75;49;49,task:3;informational:54;navigational:5;commercial:22;transactional:16
Liquidificadores e Biscuit,15,55,8;78;100;18;15;16;12;79;61;13;13;14,task:7;informational:51;navigational:24;commercial:14;transactional:4
