name,prompts_count,volume,volume_trend,intents
Máquinas de Lavar Roupa,1033,671917,53;52;62;71;94;94;94;100;99;99;99;99,task:5;informational:45;navigational:5;commercial:36;transactional:9
Máquinas de Lavar e Secar,335,230136,37;37;41;53;97;97;97;100;97;97;97;97,task:8;informational:37;navigational:5;commercial:38;transactional:12
Máquinas de Lavar Roupas,24,2285,35;37;37;47;47;53;52;100;89;69;68;86,task:5;informational:72;navigational:5;commercial:10;transactional:8
Balde e lavadora de roupas,22,527,87;100;100;58;57;64;74;81;45;45;43;43,task:8;informational:75;navigational:2;commercial:10;transactional:5
Maquinas de Lavar e Secar,17,844,11;36;45;30;29;22;11;57;23;100;35;55,task:5;informational:32;navigational:19;commercial:25;transactional:19
Máquinas de lavar Bemol,18,209,17;90;100;58;58;33;35;63;42;24;25;25,task:1;informational:47;navigational:24;commercial:11;transactional:17
Peças de máquina de lavar,53,27921,27;30;36;45;74;75;75;96;100;100;100;100,task:3;informational:46;navigational:3;commercial:33;transactional:15
Lavadoras de roupas,17,774,36;74;82;68;41;51;53;41;64;84;56;100,task:7;informational:37;navigational:10;commercial:18;transactional:28
Máquinas de lavar no Pontofrio,15,1347,56;92;92;83;67;69;70;89;76;84;100;100,informational:25;navigational:49;commercial:11;transactional:15
Melhores Máquinas de Lavar Roupas,20,1915,23;27;32;31;52;49;52;100;79;86;80;96,task:2;informational:30;commercial:60;transactional:8
Máquinas de lavar e secar roupas,15,1423,27;79;84;55;67;48;49;99;85;89;89;100,task:2;informational:55;navigational:10;commercial:15;transactional:18
Máquinas de Passar Roupa,15,1939,36;39;41;43;44;44;46;100;98;93;93;98,task:5;informational:70;navigational:2;commercial:15;transactional:8
Máquinas de lavar roupas no Brasil,15,548,5;47;50;39;39;28;22;100;45;70;56;58,task:5;informational:56;navigational:11;commercial:11;transactional:17
Máquinas de Lavar Brinquedo,18,937,83;99;100;58;66;71;81;56;69;74;58;59,task:2;informational:62;navigational:5;commercial:21;transactional:10
Eletrodomésticos Havan,21,2021,83;100;54;63;63;67;68;60;58;56;57;57,task:1;informational:26;navigational:41;commercial:9;transactional:23
Lavadoras de Roupa Portáteis,33,9822,92;97;100;45;43;43;43;42;45;45;45;44,task:2;informational:51;navigational:5;commercial:19;transactional:23
Máquinas de lavar no Brasil,23,2468,82;98;100;58;51;54;55;56;56;68;57;63,task:2;informational:50;navigational:12;commercial:17;transactional:19
Limpeza de Máquina de Lavar,159,58643,69;69;75;88;88;88;88;99;100;100;100;100,task:3;informational:77;navigational:5;commercial:8;transactional:7
Lavadoras Electrolux,200,82842,37;38;40;64;68;68;68;100;99;99;99;99,task:2;informational:43;navigational:16;commercial:21;transactional:18
Máquinas de lavar Havan,18,2106,36;43;46;56;43;44;44;57;58;51;78;100,task:2;informational:38;navigational:28;commercial:10;transactional:22
Máquinas de lavar industriais,69,15409,23;29;32;48;91;91;92;100;97;97;97;97,task:4;informational:44;navigational:1;commercial:40;transactional:11
Lavadoras de roupas com centrifuga,16,611,16;62;67;55;66;42;47;100;77;87;80;71,task:1;informational:65;navigational:4;commercial:24;transactional:6
