name,prompts_count,volume,volume_trend,intents
Potência de Micro-ondas,39,8431,32;54;65;84;98;99;99;98;100;100;100;100,task:5;informational:76;navigational:2;commercial:14;transactional:3
Ondas de Rádio,31,13708,70;76;87;92;88;89;89;100;100;100;100;100,task:2;informational:72;navigational:7;commercial:13;transactional:6
Micro-ondas barulhentos,19,667,91;91;89;100;94;94;94;75;83;77;77;77,task:2;informational:78;navigational:5;commercial:10;transactional:5
Micro-ondas Elettromec,15,135,43;48;46;57;100;70;91;89;81;61;65;60,task:3;informational:32;navigational:35;commercial:12;transactional:18
Micro-ondas e Fornos de Micro-ondas,355,378717,18;21;22;100;45;45;45;46;46;46;46;46,task:8;informational:45;navigational:8;commercial:28;transactional:11
Tramontina Micro-ondas,17,526,74;83;85;77;77;77;75;79;78;100;93;98,task:2;informational:59;navigational:17;commercial:10;transactional:12
Micro-ondas Industriais,17,558,57;98;100;95;69;89;91;82;83;84;90;92,task:10;informational:48;navigational:4;commercial:29;transactional:9
Micro-ondas Mondial,23,3514,86;98;99;63;62;65;65;81;90;90;100;100,task:2;informational:41;navigational:25;commercial:16;transactional:16
portas de micro-ondas,16,643,65;85;87;89;77;98;100;77;78;81;81;80,task:10;informational:53;navigational:6;commercial:16;transactional:15
Micro-ondas: funcionamento e saúde,86,17265,84;87;90;100;100;100;100;97;96;96;96;96,task:2;informational:85;navigational:5;commercial:5;transactional:3
Micro-ondas: ortografia e grafia,42,20974,100;71;71;66;78;78;78;90;87;87;87;87,task:5;informational:85;navigational:3;commercial:5;transactional:2
Micro-ondas Bemol,15,141,4;9;9;12;14;11;9;100;53;14;12;15,task:7;informational:32;navigational:19;commercial:15;transactional:27
Transformadores de Microondas,27,4087,22;30;30;33;79;81;81;100;84;84;85;84,task:8;informational:62;navigational:5;commercial:16;transactional:9
Motores de Micro-ondas,30,5359,33;40;40;55;85;85;85;100;96;96;97;97,task:2;informational:62;navigational:4;commercial:19;transactional:13
Micro-ondas Electrolux,97,54346,63;64;68;100;90;90;90;90;98;98;98;98,informational:42;navigational:33;commercial:12;transactional:13
Ondas Eletromagnéticas,152,70251,100;98;98;85;67;67;67;77;78;78;78;78,task:2;informational:83;navigational:5;commercial:8;transactional:2
Micro-ondas em aço inox,19,1015,100;86;88;91;53;54;54;49;67;67;70;72,task:8;informational:51;navigational:4;commercial:26;transactional:11
Magnetron de Micro-ondas,41,30430,25;28;17;84;84;84;84;100;100;100;100;100,task:2;informational:60;navigational:5;commercial:19;transactional:14
Micro-ondas Consul,22,3300,84;99;100;51;47;50;52;54;61;62;75;76,task:2;informational:39;navigational:23;commercial:20;transactional:16
Fisioterapia com Micro-ondas,18,720,69;62;63;100;96;97;97;86;75;75;75;75,task:2;informational:63;navigational:4;commercial:25;transactional:6
