name,prompts_count,volume,volume_trend,intents
Micro-ondas e Fornos de Micro-ondas,355,378717,18;21;22;100;45;45;45;46;46;46;46;46,task:8;informational:45;navigational:8;commercial:28;transactional:11
Potência de Micro-ondas,39,8431,32;54;65;84;98;99;99;98;100;100;100;100,task:5;informational:76;navigational:2;commercial:14;transactional:3
Pratos de Micro-ondas,30,10088,22;28;35;50;91;93;93;100;94;94;94;94,task:5;informational:56;navigational:4;commercial:26;transactional:9
Micro-ondas Elettromec,15,135,43;48;46;57;100;70;91;89;81;61;65;60,task:3;informational:32;navigational:35;commercial:12;transactional:18
Brastemp Micro-ondas,93,22880,61;63;71;77;100;100;100;94;95;95;95;95,task:4;informational:35;navigational:21;commercial:22;transactional:18
Micro-ondas Bemol,15,141,4;9;9;12;14;11;9;100;53;14;12;15,task:7;informational:32;navigational:19;commercial:15;transactional:27
Magnetron de Micro-ondas,41,30430,25;28;17;84;84;84;84;100;100;100;100;100,task:2;informational:60;navigational:5;commercial:19;transactional:14
Micro-ondas Electrolux,97,54346,63;64;68;100;90;90;90;90;98;98;98;98,informational:42;navigational:33;commercial:12;transactional:13
Micro-ondas Industriais,17,558,57;98;100;95;69;89;91;82;83;84;90;92,task:10;informational:48;navigational:4;commercial:29;transactional:9
Micro-ondas LG,30,5315,86;97;100;52;59;60;61;56;62;62;62;61,task:2;informational:48;navigational:18;commercial:20;transactional:12
Tramontina Micro-ondas,17,526,74;83;85;77;77;77;75;79;78;100;93;98,task:2;informational:59;navigational:17;commercial:10;transactional:12
Doces de Microondas,28,2018,95;100;100;42;41;43;44;95;95;94;95;94,task:15;informational:76;navigational:3;commercial:5;transactional:1
Forno Multifuncional com Micro-ondas,18,10156,7;17;21;96;96;97;97;100;100;100;100;100,task:6;informational:50;navigational:5;commercial:29;transactional:10
Micro-ondas em aço inox,19,1015,100;86;88;91;53;54;54;49;67;67;70;72,task:8;informational:51;navigational:4;commercial:26;transactional:11
Micro-ondas: funcionamento e saúde,86,17265,84;87;90;100;100;100;100;97;96;96;96;96,task:2;informational:85;navigational:5;commercial:5;transactional:3
Brinquedos com Micro-ondas,15,1084,87;98;97;100;89;92;92;78;74;74;78;77,task:2;informational:63;navigational:10;commercial:20;transactional:5
Micro-ondas Consul,22,3300,84;99;100;51;47;50;52;54;61;62;75;76,task:2;informational:39;navigational:23;commercial:20;transactional:16
Panasonic micro-ondas,41,8108,91;100;50;57;93;94;95;68;75;85;78;77,task:5;informational:38;navigational:10;commercial:27;transactional:20
Micro-ondas na Fast Shop,16,769,38;55;59;54;72;71;89;100;82;65;65;67,task:5;informational:42;navigational:23;commercial:10;transactional:20
Micro-ondas Mondial,23,3514,86;98;99;63;62;65;65;81;90;90;100;100,task:2;informational:41;navigational:25;commercial:16;transactional:16
Micro-ondas Samsung,18,1808,44;67;68;41;43;33;34;100;43;51;55;61,task:2;informational:68;navigational:10;commercial:15;transactional:5
Motores de Micro-ondas,30,5359,33;40;40;55;85;85;85;100;96;96;97;97,task:2;informational:62;navigational:4;commercial:19;transactional:13
Micro-ondas 33L,18,1032,39;46;47;82;83;75;74;100;71;62;60;61,task:2;informational:38;navigational:9;commercial:26;transactional:25
portas de micro-ondas,16,643,65;85;87;89;77;98;100;77;78;81;81;80,task:10;informational:53;navigational:6;commercial:16;transactional:15
Micro-ondas sem prato e flat,21,1919,38;45;46;31;28;29;30;100;50;50;50;50,task:2;informational:62;navigational:4;commercial:25;transactional:7
Micro-ondas Havan,16,984,85;100;100;61;58;60;60;91;71;73;65;66,task:3;informational:29;navigational:30;commercial:18;transactional:20
