Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,brastemp,brastemp,,,,,201000,58,4.86,1.00,0,Navigational,"Knowledge Panel, Site Links, Reviews, Adwords Bottom, People Also Ask, Popular Products, Related Searches","0.30,0.30,0.24,0.44,0.30,0.36,0.44,0.36,0.36,0.30,0.30,0.36",20,,
br,geladeira brastemp,brastemp,,,,,201000,48,0.29,1.00,180,"Informational, Transactional","Site Links, Reviews, People Also Ask, Popular Products, Related Searches, Image Pack","0.54,0.54,0.54,0.54,0.54,0.66,0.81,0.66,0.81,0.54,0.44,0.66",20,,
br,geladeira brastemp frost free,brastemp,,,,,49500,36,0.26,1.00,10,"Informational, Transactional","Image Pack, Site Links, People Also Ask, Popular Products, Related Searches","0.66,0.44,0.54,0.54,0.44,0.54,0.81,0.54,0.66,0.54,0.44,0.54",20,,
br,maquina de lavar brastemp,brastemp,,,,,40500,31,0.26,1.00,170,"Informational, Transactional","Popular Products, Related Searches, AI Overview, Site Links, Video, People Also Ask","0.54,0.44,0.44,0.36,0.36,0.36,0.44,0.44,0.44,0.36,0.54,0.44",20,,
br,brastemp geladeira,brastemp,,,,,27100,45,0.48,1.00,168,"Informational, Transactional","People Also Ask, Popular Products, Related Searches, Site Links, Reviews, Video","0.30,0.20,0.20,0.16,0.24,0.20,0.45,0.20,0.24,0.20,0.24,0.30",20,,
br,frigobar brastemp,brastemp,,,,,27100,31,0.19,1.00,167,"Informational, Transactional","Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.44,0.36,0.36,0.44,0.54,0.44,0.44,0.44,0.44,0.29,0.36,0.29",20,,
br,lava louças brastemp,brastemp,,,,,27100,35,0.25,1.00,169,"Informational, Transactional","Popular Products, Related Searches, Short Videos, Site Links, Video, People Also Ask, AI Overview, Image Pack, Reviews","0.66,0.44,0.66,0.44,0.44,0.44,0.66,0.66,0.36,0.29,0.44,0.29",20,,
br,microondas brastemp,brastemp,,,,,27100,35,0.18,1.00,203,Commercial,"Image Pack, Site Links, Reviews, People Also Ask, Popular Products, Related Searches","0.66,0.81,0.66,0.81,0.54,0.66,0.54,0.29,0.54,0.36,0.66,0.54",20,,
br,geladeira brastemp inverse,brastemp,,,,,22200,37,0.26,1.00,168,"Informational, Transactional","Popular Products, Related Searches, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.36,0.36,0.44,0.54,0.36,0.29,0.81,0.44,0.66,0.29,0.44,0.54",20,,
br,geladeira frost free brastemp,brastemp,,,,,22200,35,0.26,1.00,166,"Informational, Transactional","Reviews, People Also Ask, Popular Products, Related Searches, Adwords Middle, AI Overview, Image Pack, Site Links","0.08,0.16,0.20,0.30,0.30,0.36,0.44,0.30,0.30,0.20,0.30,0.36",20,,
br,máquina de lavar roupa brastemp,brastemp,,,,,22200,36,0.17,1.00,180,Commercial,"Video, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links","0.81,0.81,0.81,1.00,0.81,1.00,1.00,1.00,1.00,0.81,1.00,1.00",20,,
br,fogão 5 bocas brastemp,brastemp,,,,,18100,30,0.16,1.00,185,Informational,"Related Searches, Image Pack, Site Links, People Also Ask, Popular Products","0.44,0.54,0.66,0.44,0.36,0.29,0.66,0.44,0.44,0.36,0.20,0.66",20,,
br,lava louça brastemp,brastemp,,,,,18100,38,0.25,1.00,176,"Navigational, Transactional","Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Popular Products, AI Overview","0.44,0.36,0.36,0.29,0.29,0.24,0.81,0.36,0.24,0.24,0.29,0.44",20,,
br,fogão 4 bocas brastemp,brastemp,,,,,14800,30,0.12,1.00,170,"Informational, Transactional","Related Searches, AI Overview, Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products","0.54,0.66,0.54,0.54,0.44,0.54,0.66,0.66,0.44,0.44,0.66,0.54",20,,
br,fogão brastemp,brastemp,,,,,14800,39,0.18,1.00,171,"Navigational, Transactional","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.67,0.54,0.54,0.54,0.36,0.44,0.67,0.36,0.29,0.29,0.36,0.54",20,,
