Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,adega climatizada fazendo barulho,,,,,,,,,,,,,,,,
br,adega climatizada não gela,,,,,,20,0,0.00,0.33,,,,"0.14,0.00,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
br,air fryer com cheiro de queimado,,,,,,30,0,0.00,0.33,,,,"0.18,0.18,0.45,0.18,0.18,0.18,0.45,0.36,0.27,0.27,0.18,0.36",,,
br,air fryer com cheiro de queimado o que fazer,,,,,,,,,,,,,,,,
br,air fryer desligando sozinha,,,,,,70,0,0.00,0.33,,,,"0.65,0.43,0.34,0.43,0.34,0.34,0.12,0.00,0.06,0.06,0.06,0.06",,,
br,air fryer desligando sozinha o que fazer,,,,,,,,,,,,,,,,
br,air fryer econômica,,,,,,20,0,0.05,1.00,,,,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.40,0.40,0.40,0.40",,,
br,air fryer electrolux nao liga,,,,,,20,0,0.00,0.33,,,,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
br,air fryer gasta muita energia,,,,,,2900,20,0.01,0.04,168,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video, Video Carousel","0.80,0.66,0.80,0.66,0.80,0.80,1.00,0.80,1.00,0.66,0.80,0.66",90,,
br,air fryer não esquenta,,,,,,70,0,0.00,0.33,,,,"0.15,0.15,0.15,0.19,0.19,0.53,0.34,0.19,0.15,0.11,0.11,0.65",,,
br,air fryer não esquenta o que fazer,,,,,,,,,,,,,,,,
br,air fryer não liga,,,,,,140,29,0.00,0.33,169,Informational,"Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.53,0.65,0.65,0.21,0.43,0.65,0.65,0.53,0.65,0.12,0.15,0.53",90,,
br,air fryer não liga o que fazer,,,,,,,,,,,,,,,,
br,airfryer com cheiro de queimado,,,,,,20,0,0.00,0.33,,,,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,,
br,airfryer desligando sozinha,,,,,,20,0,0.00,0.33,,,,"0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.11,0.11,0.11,0.11,0.11",,,
br,airfryer não esquenta,,,,,,50,0,0.00,0.01,,,,"0.09,0.09,0.09,0.09,0.33,0.42,0.42,0.42,1.00,0.00,0.00,0.00",,,
br,airfryer não liga,,,,,,70,0,0.00,0.33,,,,"0.64,0.64,0.07,0.21,0.50,0.50,0.35,0.50,0.50,0.50,0.64,0.50",,,
br,ar condicionado com cheiro,,,,,,30,0,0.00,0.44,,,,"0.14,0.14,0.21,0.14,0.21,0.21,0.14,0.21,0.14,0.21,0.21,0.21",,,
br,ar condicionado com cheiro o que fazer,,,,,,,,,,,,,,,,
br,ar condicionado desligando sozinho,,,,,,720,19,0.42,0.02,103,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Video","0.25,0.20,0.16,0.25,0.37,0.37,0.37,0.84,0.68,0.52,0.37,0.31",90,,
br,ar condicionado desligando sozinho o que fazer,,,,,,,,,,,,,,,,
br,ar condicionado econômica,,,,,,20,0,0.11,0.92,,,,"0.44,0.00,0.00,0.00,0.11,0.11,0.22,0.55,1.00,0.22,0.11,0.11",,,
br,ar condicionado electrolux nao liga,,,,,,70,0,0.44,0.05,,,,"0.06,0.00,0.21,0.21,0.21,0.28,0.28,0.53,0.43,0.34,0.15,0.28",,,
br,ar condicionado fazendo barulho,,,,,,1000,22,0.16,0.05,102,Informational,"Related Searches, Short Videos, AI Overview, Reviews, Video, Video Carousel, People Also Ask","0.30,0.30,0.30,0.30,0.41,0.41,0.41,0.79,0.79,0.66,0.41,0.41",90,,
br,ar condicionado fazendo barulho o que fazer,,,,,,,,,,,,,,,,
br,ar condicionado gasta muita energia,,,,,,1600,26,0.01,0.07,107,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.07,0.07,0.08,0.08,0.15,0.19,0.24,0.66,0.54,0.24,0.19,0.13",90,,
br,ar condicionado luz piscando,,,,,,30,0,0.00,0.02,,,,"0.06,0.06,0.06,0.06,0.09,0.09,0.06,0.12,0.12,0.12,0.06,0.09",,,
br,ar condicionado luz piscando o que fazer,,,,,,,,,,,,,,,,
br,ar condicionado não gela,,,,,,1900,24,0.15,0.10,107,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.13,0.08,0.08,0.13,0.28,0.28,0.24,0.81,0.54,0.36,0.19,0.15",90,,
