Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,consul,consul,,,,,110000,57,1.58,1.00,169,Navigational,"Related Searches, AI Overview, Knowledge Panel, Site Links, Reviews, Video Carousel, People Also Ask","0.30,0.30,0.36,0.44,0.44,0.36,0.54,0.54,0.36,0.30,0.36,0.44",20,,
br,geladeira consul,consul,,,,,110000,31,0.21,1.00,178,Commercial,"Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.81,0.81,0.66,0.54,0.66",20,,
br,cervejeira consul,consul,,,,,49500,29,0.19,1.00,161,"Informational, Transactional","Video, People Also Ask, Related Searches, Image Pack, Site Links","0.24,0.24,0.30,0.30,0.24,0.24,0.44,0.30,0.30,0.20,0.20,0.24",20,,
br,geladeira consul frost free,consul,,,,,40500,30,0.23,1.00,185,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.66,0.66,0.54,0.54,0.66,0.66,1.00,0.66,1.00,0.44,0.66,0.66",20,,
br,consul geladeira,consul,,,,,14800,28,0.21,1.00,180,"Informational, Transactional","Site Links, Video, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack","0.29,0.24,0.81,0.29,0.20,0.24,0.29,0.36,0.54,0.54,0.66,0.44",20,,
br,fogão 4 bocas consul,consul,,,,,14800,26,0.17,1.00,178,Transactional,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Adwords Bottom","0.54,0.24,0.24,0.29,0.44,0.29,0.36,0.29,0.36,0.44,0.36,0.24",20,,
br,fogão consul 4 bocas,consul,,,,,14800,26,0.17,1.00,166,Transactional,"People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video","0.54,0.44,0.81,0.44,0.54,0.54,0.36,0.66,0.44,0.54,0.54,1.00",20,,
br,geladeira frost free consul,consul,,,,,14800,28,0.23,1.00,189,"Informational, Transactional","Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.36,0.29,0.29,0.44,0.44,0.29,0.36,0.67,0.44,1.00,0.29,0.44",20,,
br,purificador de agua consul,consul,,,,,14800,38,0.16,1.00,187,"Navigational, Transactional","Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Video, People Also Ask","0.44,0.36,0.36,0.36,0.36,0.44,0.67,0.44,0.44,0.36,0.44,0.36",20,,
br,filtro consul,consul,,,,,12100,32,0.25,1.00,162,"Informational, Transactional","Image Pack, Site Links, Video, Popular Products, Related Searches, AI Overview","0.54,0.44,0.54,0.54,0.66,0.54,0.66,0.66,0.81,0.66,0.66,0.54",20,,
br,frigobar consul,consul,,,,,12100,27,0.13,1.00,164,"Informational, Transactional","Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.44,0.44,0.44,0.44,0.54,0.44,0.54,0.29,0.66,0.54,0.66,0.54",20,,
br,fogao consul,consul,,,,,9900,31,0.21,1.00,169,Transactional,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, AI Overview","0.44,0.54,0.44,0.44,0.81,0.44,0.54,0.36,0.54,0.44,0.54,0.44",20,,
br,refrigerador frigobar consul,consul,,,,,9900,26,0.13,1.00,178,"Informational, Transactional","Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches","1.00,0.36,0.10,0.24,0.29,1.00,1.00,1.00,0.36,0.54,0.54,0.81",20,,
br,freezer consul,consul,,,,,8100,29,0.27,1.00,197,"Informational, Transactional","Adwords Bottom, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.66,0.54,0.54,0.66,0.66,0.66,0.66,0.66,0.81,0.44,0.54,0.54",20,,
br,geladeira consul pequena,consul,,,,,8100,27,0.12,1.00,207,"Informational, Transactional","Site Links, Video, People Also Ask, Popular Products, Related Searches, Image Pack","0.66,0.66,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00",20,,
br,geladeira/refrigerador consul frost free,consul,,,,,8100,25,0.23,1.00,169,"Navigational, Commercial","Popular Products, Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.00,0.00,0.00,0.00,0.16,0.67,0.81,0.19,0.00,0.44,0.67,1.00",20,,
br,microondas consul,consul,,,,,8100,28,0.14,1.00,190,Commercial,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.66,0.66,0.66,0.66,0.54,0.44,0.81,0.44,0.54,0.54,0.54,0.54",20,,
br,ar condicionado consul,consul,,,,,6600,32,0.14,1.00,164,"Informational, Commercial","AI Overview, Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.10,0.10,0.10,0.13,0.16,0.19,0.24,0.54,0.29,0.16,0.16,0.13",20,,
br,filtro de agua consul,consul,,,,,6600,24,0.17,1.00,216,"Informational, Transactional","Short Videos, Image Pack, Site Links, Video, Popular Products, Related Searches","0.44,0.44,0.54,0.44,0.44,0.54,0.66,0.54,0.54,0.54,0.54,0.54",20,,
br,fogão 5 bocas consul,consul,,,,,6600,23,0.16,1.00,166,Transactional,"Image Pack, Site Links, Popular Products, Related Searches","0.44,0.29,0.54,0.44,0.36,0.24,0.54,0.36,0.29,0.36,0.36,0.24",20,,
br,fogão consul 5 bocas,consul,,,,,6600,36,0.16,1.00,130,Transactional,"Site Links, Popular Products, Related Searches","0.66,0.29,0.54,0.54,0.44,0.54,0.66,0.36,0.44,0.44,0.44,0.54",20,,
br,freezer vertical consul,consul,,,,,6600,32,0.18,1.00,183,"Informational, Transactional","Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.44,0.36,0.36,0.29,0.36,0.36,0.66,0.44,0.44,0.44,0.54,0.54",20,,
br,geladeira consul inox,consul,,,,,6600,26,0.25,1.00,179,"Informational, Transactional","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image, Video Carousel","0.44,0.36,0.44,0.44,0.44,0.54,0.44,0.44,0.54,0.29,0.44,0.36",20,,
