Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,haier,haier,,,,,1900,36,0.27,0.32,161,"Informational, Navigational","Knowledge Panel, Related Searches, Site Links, Reviews, Video, People Also Ask, Popular Products, Short Videos, AI Overview","0.35,1.00,0.18,0.24,0.18,0.35,0.24,0.35,0.53,0.35,0.53,0.44",20,,
br,ar condicionado portatil haier,haier,,,,,390,21,0.05,1.00,155,Informational,"Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links","0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.18,0.08,0.03,0.03,0.03",20,,
br,haier brasil,haier,,,,,210,31,0.22,0.09,164,"Navigational, Commercial","Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Reviews, Video","0.18,0.28,0.23,0.18,0.23,0.28,0.35,0.44,0.54,0.66,1.00,1.00",20,,
br,ar condicionado haier,haier,,,,,170,24,0.07,1.00,158,Informational,"Image Pack, Reviews, People Also Ask, Popular Products, Related Searches, Site Links, Video, Video Carousel, AI Overview","0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.10,0.05,0.02,0.03,0.02",20,,
br,haier ar condicionado,haier,,,,,140,21,0.07,1.00,162,Commercial,"Popular Products, Related Searches, Site Links, Video, People Also Ask","0.01,0.02,0.01,0.01,0.03,0.02,0.02,0.07,0.05,0.03,0.03,0.03",20,,
br,tv haier,haier,,,,,140,26,0.07,0.96,171,Commercial,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.53,0.53,0.65,0.42,0.42,0.53,0.42,0.53,0.53,0.53,0.53,0.80",20,,
br,ar condicionado portátil haier,haier,,,,,110,21,0.05,1.00,161,Commercial,"Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links","0.01,0.01,0.00,0.06,0.02,0.03,0.02,0.16,0.10,0.04,0.03,0.04",20,,
br,haier tv,haier,,,,,110,26,0.11,0.59,172,Informational,"AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.18,0.35,0.15,0.15,0.18,0.18,0.11,0.23,0.18,0.23,0.15,1.00",20,,
br,refrigerateur multi portes haier hb18fgsaaa,haier,,,,,110,17,0.00,0.00,117,Informational,"Video, Related Searches","1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
br,téléviseurs haier,haier,,,,,110,28,0.06,0.95,164,Commercial,"People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.82,0.82,0.82,0.00,0.64,0.82,0.64,0.00,0.82,0.82,0.00,0.00",20,,
br,cave a vin encastrable haier,haier,,,,,90,13,0.00,0.00,164,Informational,"Site Links, Video, Related Searches","1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04",20,,
br,cave a vin haier,haier,,,,,90,7,0.00,1.00,157,Informational,"Image Pack, Video, Related Searches","1.00,0.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00",90,,
br,congelateur armoire haier,haier,,,,,90,21,0.00,0.00,167,Informational,"Image Pack, Related Searches","1.00,0.35,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
br,haier biomedical,haier,,,,,90,25,0.53,0.29,0,Navigational,"Site Links, Popular Products, Related Searches, Image Pack","0.64,0.64,0.64,0.64,0.29,0.41,0.41,0.52,0.17,0.29,0.64,0.82",20,,
br,haier refrigerator,haier,,,,,90,25,0.00,0.34,22600000,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video, People Also Ask","0.81,1.00,0.15,0.15,0.09,0.06,0.12,0.06,0.06,0.06,0.09,0.06",20,,
br,haier washing machine,haier,,,,,90,21,0.00,0.85,145,Commercial,"People Also Ask, Popular Products, Related Searches, Site Links, Video","0.66,0.66,0.12,0.17,0.12,0.05,0.17,0.05,0.05,0.05,0.05,0.05",20,,
br,lave linge haier 10 kg,haier,,,,,90,18,0.00,0.33,90,Commercial,"Video, Related Searches, Image Pack, Reviews","1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
br,lave linge haier 15 kg,haier,,,,,90,15,0.00,0.00,194,Informational,"Related Searches, Image Pack, Video, Video Carousel","1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
br,lave linge haier 7 kg,haier,,,,,90,21,0.00,0.00,165,Informational,"Site Links, Reviews, Video, Related Searches, AI Overview","1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
br,lave linge haier 8 kg,haier,,,,,90,15,0.00,0.00,159,Commercial,"Related Searches, Site Links, Reviews, Video","1.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
br,lave linge haier 9 kg,haier,,,,,90,20,0.00,0.00,187,Commercial,"Image Pack, Site Links, Video, Related Searches, AI Overview","1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
