Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,hisense,Hisense,,,,,33100,47,0.15,1.00,168,Navigational,"Video Carousel, People Also Ask, Popular Products, Related Searches, Knowledge Panel, Image Pack, Site Links, Video","0.20,1.00,0.44,0.24,0.36,0.36,0.54,0.54,0.54,0.30,0.36,0.30",20,,
br,ar condicionado hisense,Hisense,,,,,9900,23,0.11,1.00,163,"Informational, Commercial","Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links","0.10,0.13,0.13,0.16,0.19,0.24,0.36,1.00,1.00,0.36,0.29,0.24",20,,
br,geladeira hisense,Hisense,,,,,5400,29,0.15,1.00,168,"Navigational, Commercial","Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Reviews, Video","0.44,0.36,0.54,0.44,0.54,0.66,0.66,0.66,1.00,0.81,0.54,0.81",20,,
br,hisense é boa,Hisense,,,,,5400,33,0.12,1.00,182,Informational,"People Also Ask, Related Searches, AI Overview, Reviews, Video, Image, Video Carousel","0.08,0.29,0.29,0.29,0.24,0.36,1.00,0.54,0.44,0.29,0.36,0.29",90,,
br,ar condicionado hisense é bom,Hisense,,,,,4400,33,0.08,1.00,162,Informational,"Related Searches, Short Videos, AI Overview, Site Links, Reviews, Video, People Also Ask, Popular Products","0.08,0.08,0.08,0.08,0.16,0.19,0.44,1.00,0.66,0.24,0.29,0.19",20,,
br,hisense ar condicionado,Hisense,,,,,4400,21,0.12,1.00,156,Informational,"People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.08,0.12,0.10,0.10,0.19,0.19,0.24,1.00,0.81,0.29,0.24,0.29",20,,
br,lava e seca hisense,Hisense,,,,,4400,27,0.18,1.00,166,"Informational, Commercial","Site Links, Reviews, Video, Video Carousel, Popular Products, Related Searches, AI Overview, People Also Ask, Short Videos","0.44,0.53,0.81,0.81,0.66,1.00,1.00,0.66,0.81,0.81,0.81,1.00",20,,
br,ar condicionado portátil hisense,Hisense,,,,,3600,38,0.12,1.00,156,"Informational, Commercial","Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview","0.01,0.01,0.01,0.03,0.05,0.03,0.10,1.00,0.66,0.13,0.08,0.08",20,,
br,ar condicionado portatil hisense,Hisense,,,,,2400,28,0.12,1.00,165,"Informational, Commercial","Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.01,0.01,0.02,0.03,0.06,0.05,0.08,0.66,1.00,0.08,0.06,0.08",20,,
br,marca hisense é boa,Hisense,,,,,2400,31,0.13,1.00,174,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.12,0.19,0.23,0.29,0.19,0.35,0.81,0.44,0.35,0.16,0.16,0.23",90,,
br,ar cond hisense é bom,Hisense,,,,,1900,21,0.08,1.00,162,Informational,"Short Videos, AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24,0.29,0.00,0.24",20,,
br,geladeira hisense é boa,Hisense,,,,,1600,25,0.14,1.00,173,Informational,"Popular Products, Related Searches, AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.20,0.20,0.24,0.27,0.27,0.52,0.80,0.80,1.00,0.52,0.52,0.44",20,,
br,hisense ar condicionado é bom,Hisense,,,,,1600,22,0.08,1.00,161,Informational,"AI Overview, Video Carousel, People Also Ask, Related Searches, Short Videos, Site Links, Reviews, Video, Popular Products","0.03,0.07,0.13,0.04,0.08,0.15,0.43,0.43,1.00,0.10,0.15,0.36",20,,
br,hisense u7n,Hisense,,,,,1600,36,0.08,1.00,162,Informational,"AI Overview, Site Links, Reviews, Video, Image, People Also Ask, Related Searches","1.00,0.82,0.65,0.65,0.44,0.82,0.82,0.34,0.30,0.20,0.16,0.16",20,,
br,lava e seca hisense é boa,Hisense,,,,,1600,24,0.11,1.00,170,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Reviews, Video","0.44,0.34,0.65,0.65,0.55,0.82,1.00,0.44,0.65,0.30,0.55,0.65",90,,
br,ar condicionado hisense 10000,Hisense,,,,,1300,15,0.10,1.00,161,"Informational, Commercial","Popular Products, Related Searches, AI Overview, Site Links, Video Carousel, People Also Ask","0.05,0.05,0.07,0.08,0.13,0.18,0.24,0.66,1.00,0.35,0.24,0.18",20,,
br,ar condicionado hisense 12000,Hisense,,,,,1300,23,0.11,1.00,161,Commercial,"Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.03,0.04,0.03,0.10,0.13,0.22,0.36,1.00,0.65,0.20,0.29,0.29",20,,
br,frigobar hisense,Hisense,,,,,1300,27,0.11,1.00,167,Transactional,"Related Searches, Image Pack, Site Links, Video, People Also Ask, Popular Products","0.16,0.30,0.41,0.66,0.66,1.00,1.00,0.66,0.41,0.24,0.30,0.36",20,,
br,lava e seca hisense 13kg,Hisense,,,,,1300,22,0.17,1.00,169,Commercial,"Related Searches, Short Videos, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.34,0.24,0.20,0.30,0.24,0.44,1.00,0.44,0.65,0.44,0.44,0.44",20,,
