Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,geladeira midea,"""+midea""",,,,,40500,35,0.12,1.00,198,"Navigational, Commercial","Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack, Site Links","0.36,0.36,0.36,0.44,0.36,0.44,0.54,0.44,0.54,0.36,0.29,0.54",20,,
br,lava e seca midea,"""+midea""",,,,,33100,30,0.20,1.00,0,"Navigational, Transactional","Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.44,0.66,0.66,0.54,0.66,0.44,0.66,0.54,0.54,0.54,0.54,0.54",20,,
br,ar condicionado midea,"""+midea""",,,,,18100,35,0.17,1.00,164,"Informational, Navigational","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video Carousel","0.20,0.20,0.24,0.24,0.36,0.54,0.44,1.00,0.66,0.36,0.24,0.29",20,,
br,frigobar midea,"""+midea""",,,,,18100,28,0.11,1.00,166,"Informational, Transactional","Image Pack, Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches","0.44,0.36,0.44,0.44,0.44,0.54,0.66,0.54,0.66,0.44,0.44,0.54",20,,
br,midea ar condicionado,"""+midea""",,,,,14800,35,0.17,1.00,162,"Navigational, Transactional","People Also Ask, Popular Products, Related Searches, Site Links, Video, Video Carousel","0.19,0.19,0.19,0.29,0.44,0.44,0.67,0.81,0.67,0.29,0.36,0.29",20,,
br,ar condicionado midea 12000,"""+midea""",,,,,12100,35,0.15,1.00,193,"Informational, Transactional","People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.16,0.16,0.19,0.24,0.29,0.44,0.44,0.81,0.67,0.36,0.29,0.29",20,,
br,climatizador midea,"""+midea""",,,,,12100,29,0.10,1.00,162,"Informational, Transactional","Related Searches, Adwords Middle, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.03,0.02,0.03,0.04,0.13,0.13,0.13,0.44,0.24,0.10,0.07,0.05",20,,
br,midea lava e seca,"""+midea""",,,,,12100,31,0.20,1.00,0,"Navigational, Commercial","People Also Ask, Popular Products, Related Searches, Adwords Middle, AI Overview, Site Links, Video, Video Carousel","0.66,0.54,0.54,0.44,0.36,0.29,0.66,0.81,0.81,0.66,0.81,0.54",20,,
br,lava louças midea,"""+midea""",,,,,9900,27,0.14,1.00,0,"Informational, Navigational","AI Overview, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos","0.66,1.00,0.66,1.00,0.81,0.81,1.00,0.54,0.81,0.81,1.00,0.54",20,,
br,maquina de lavar midea,"""+midea""",,,,,9900,27,0.14,1.00,194,Commercial,"Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video","0.54,0.66,0.66,0.66,0.66,0.54,0.81,0.54,1.00,0.81,1.00,0.66",20,,
br,ar condicionado midea 9000,"""+midea""",,,,,8100,26,0.14,1.00,166,"Informational, Transactional","Site Links, People Also Ask, Popular Products, AI Overview","0.19,0.16,0.19,0.29,0.29,0.36,0.44,0.66,0.54,0.44,0.24,0.29",20,,
br,lava e seca midea 11kg,"""+midea""",,,,,8100,25,0.17,1.00,166,Informational,"People Also Ask, Popular Products, Related Searches, Short Videos, Site Links, Video, Video Carousel","0.44,0.54,0.54,0.44,0.36,0.36,1.00,0.44,0.54,0.36,0.44,0.54",20,,
br,lava louça midea 8 serviço,"""+midea""",,,,,8100,32,0.14,1.00,170,"Informational, Transactional","Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.66,0.81,1.00,1.00,0.66,0.54,1.00,0.54,0.54,0.44,0.00,0.00",20,,
br,midea geladeira,"""+midea""",,,,,8100,31,0.18,1.00,0,"Navigational, Transactional","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel","0.36,0.44,0.44,0.54,0.44,0.66,1.00,0.66,0.66,0.54,0.54,0.66",20,,
br,freezer midea,"""+midea""",,,,,6600,27,0.13,1.00,181,"Informational, Navigational","AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.54,0.54,0.44,0.54,0.54,0.66,0.81,0.66,1.00,0.66,0.54,0.66",20,,
br,geladeira midea é boa,"""+midea""",,,,,6600,29,0.12,1.00,20,Informational,"Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.54,0.44,0.54,0.66,0.54,0.54,1.00,0.81,1.00,0.54,0.66,0.54",20,,
br,lava louças midea 8 serviços,"""+midea""",,,,,6600,29,0.14,1.00,183,Informational,"People Also Ask, Popular Products, Related Searches, Short Videos, AI Overview, Site Links, Video, Video Carousel","0.36,0.54,0.81,0.66,0.44,0.44,1.00,0.36,0.54,0.23,0.29,0.44",20,,
br,ar condicionado 12000 btus midea,"""+midea""",,,,,5400,32,0.18,1.00,163,"Informational, Transactional","AI Overview, Site Links, People Also Ask, Popular Products, Related Searches","0.29,0.29,0.36,0.44,0.54,0.44,0.66,1.00,0.81,0.66,0.44,0.44",20,,
br,ar condicionado 9000 btus midea,"""+midea""",,,,,4400,25,0.16,1.00,170,"Informational, Transactional","Site Links, Reviews, People Also Ask, Popular Products, Related Searches","0.29,0.24,0.36,0.36,0.44,0.54,0.66,1.00,0.66,0.44,0.44,0.36",20,,
br,climatizador de ar midea,"""+midea""",,,,,4400,26,0.10,1.00,179,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel","0.01,0.02,0.03,0.04,0.10,0.13,0.13,0.44,0.24,0.10,0.08,0.04",20,,
br,geladeira midea 347 litros,"""+midea""",,,,,4400,25,0.11,1.00,164,Commercial,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image, Video Carousel","0.54,0.36,0.44,0.36,0.44,0.44,0.54,0.44,0.44,0.29,0.24,0.24",20,,
br,geladeira midea side by side,"""+midea""",,,,,4400,27,0.18,1.00,172,"Informational, Transactional","Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.54,0.35,0.44,0.44,0.44,0.44,1.00,0.66,0.54,0.44,0.54,0.44",20,,
