Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,geladeira samsung,geladeira samsung,,,,,40500,53,0.11,1.00,123,"Informational, Transactional","Related Searches, Image Pack, Site Links, People Also Ask, Popular Products","0.44,0.44,0.44,0.44,0.44,0.44,0.54,0.44,0.54,0.36,0.44,0.36",20,,
br,geladeira samsung inverter,geladeira samsung,,,,,8100,36,0.11,1.00,162,"Informational, Transactional","Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video","0.36,0.36,0.29,0.36,0.36,0.29,0.54,0.44,0.54,0.36,0.44,0.44",20,,
br,geladeira samsung side by side,geladeira samsung,,,,,5400,36,0.15,1.00,173,"Navigational, Transactional","Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack","0.54,0.54,0.54,0.44,0.54,0.44,0.81,0.44,0.54,0.36,0.54,0.44",20,,
br,geladeira side by side samsung,geladeira samsung,,,,,4400,31,0.15,1.00,166,"Informational, Navigational","Image Pack, Site Links, People Also Ask, Popular Products, Related Searches","0.54,0.54,0.44,0.54,0.54,0.54,0.66,0.54,0.66,0.66,0.81,0.54",20,,
br,samsung geladeira,geladeira samsung,,,,,4400,43,0.16,1.00,169,"Informational, Transactional","Popular Products, Related Searches, Image Pack, Site Links, Video Carousel, People Also Ask","0.13,0.13,0.16,0.16,0.13,0.13,0.19,0.13,0.16,0.10,0.13,0.13",20,,
br,geladeira da samsung,geladeira samsung,,,,,2900,48,0.11,1.00,168,"Informational, Transactional","Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.08,0.19,0.24,0.16,0.13,0.24,0.19,0.03,0.08,0.03,0.19,0.66",20,,
br,geladeira samsung rt38,geladeira samsung,,,,,2400,37,0.12,1.00,167,"Informational, Transactional","Video, Video Carousel, People Also Ask, Related Searches, Knowledge Panel, Image Pack, Site Links","0.29,0.44,0.53,0.44,0.35,0.44,0.81,0.35,0.44,0.35,0.44,0.44",20,,
br,geladeira samsung rt42,geladeira samsung,,,,,1900,40,0.15,1.00,169,"Informational, Transactional","People Also Ask, Knowledge Panel, Image Pack, Site Links, Reviews, Video, Video Carousel, Related Searches, Image","0.24,0.19,0.28,0.28,0.19,0.24,0.66,0.36,0.28,0.24,0.24,0.19",20,,
br,samsung inverter geladeira,geladeira samsung,,,,,1900,38,0.11,1.00,166,Transactional,"Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Reviews, Video, People Also Ask","0.19,0.44,0.19,0.16,0.36,0.13,0.19,0.16,0.13,0.03,0.10,0.19",20,,
br,geladeira samsung digital inverter,geladeira samsung,,,,,1300,37,0.11,1.00,161,Informational,"Image Pack, Video, Video Carousel, Popular Products, Related Searches, Site Links, Reviews, People Also Ask, AI Overview","0.29,0.24,0.29,0.29,0.29,0.29,0.18,0.24,0.24,0.24,0.16,0.16",20,,
br,geladeira duplex evolution smartthings samsung rt38 391l bivolt,geladeira samsung,,,,,1000,33,0.15,1.00,162,"Informational, Transactional","Site Links, People Also Ask, Image Pack, Reviews, Video, Video Carousel, Related Searches, AI Overview, Knowledge Panel","0.45,0.81,1.00,1.00,0.62,1.00,0.81,0.36,0.45,0.30,0.36,0.30",20,,
br,geladeira inverter samsung,geladeira samsung,,,,,1000,40,0.13,1.00,167,Transactional,"Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video","0.08,0.07,0.08,0.08,0.07,0.10,0.13,0.07,0.10,0.05,0.07,0.05",20,,
br,geladeiras samsung,geladeira samsung,,,,,1000,47,0.11,1.00,162,Informational,"Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.13,0.13,0.16,0.53,0.29,0.13,0.29,0.07,0.18,0.24,0.13,0.29",20,,
