fonte_arquivo,marca_seed,keyword,idioma,familia,categoria,volume_medio_12m,volume_corrente_est,kd,cpc_usd,densidade_competitiva,intent,tem_ai_overview,serp_features,click_potential,trend,n_fontes,fontes
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,air fryer,pt,nao classificado,coccao,823000,774026.1,46.0,0.14,1.0,"Informational, Commercial",0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos",20.0,"[0.66, 0.54, 0.66, 0.54, 0.54, 0.54, 0.81, 0.54, 0.54, 0.44, 0.54, 0.54]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira,pt,nao classificado,geladeira,823000,780297.2,62.0,0.18,1.0,Commercial,1,"People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel",20.0,"[0.67, 0.55, 0.67, 0.67, 0.67, 0.67, 0.81, 0.81, 0.81, 0.67, 0.81, 0.67]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,ar condicionado,pt,nao classificado,ar condicionado,673000,363783.8,60.0,0.22,1.0,Commercial,0,"Popular Products, Related Searches, Local Pack, Site Links, Reviews, Video, People Also Ask",20.0,"[0.1, 0.08, 0.08, 0.1, 0.2, 0.16, 0.24, 0.44, 0.36, 0.16, 0.2, 0.1]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,microondas,pt,nao classificado,coccao,550000,556321.8,55.0,0.15,1.0,"Informational, Commercial",0,"Related Searches, Site Links, Video, Video Carousel, People Also Ask, Popular Products",20.0,"[0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.81, 0.54, 0.66, 0.54, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,fogão 4 bocas,pt,nao classificado,coccao,368000,353280.0,50.0,0.1,1.0,Commercial,0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.54, 0.44, 0.44, 0.54, 0.44, 0.44, 0.36, 0.44, 0.54, 0.44, 0.44, 0.44]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,ventilador,pt,nao classificado,sem categoria,368000,227809.5,48.0,0.11,1.0,Commercial,0,"Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask",20.0,"[0.09, 0.07, 0.07, 0.1, 0.16, 0.2, 0.24, 0.66, 0.36, 0.24, 0.2, 0.13]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira frost free,pt,especificacao produto,geladeira,368000,349654.0,58.0,0.18,1.0,Commercial,0,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel",20.0,"[0.54, 0.54, 0.54, 0.44, 0.44, 0.54, 0.81, 0.54, 0.81, 0.54, 0.54, 0.54]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,aspirador de pó,pt,nao classificado,aspirador,246000,245431.9,38.0,0.11,1.0,Informational,0,"Related Searches, Short Videos, Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products",20.0,"[0.36, 0.36, 0.36, 0.36, 0.36, 0.36, 0.44, 0.36, 0.36, 0.29, 0.36, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,maquina de lavar,pt,nao classificado,lavanderia,246000,243236.0,40.0,0.21,1.0,Commercial,0,"Site Links, Video, Adwords Top, People Also Ask, Related Searches, Image Pack, Adwords Bottom, Video Carousel, Popular Products",20.0,"[0.66, 0.81, 0.66, 0.66, 0.54, 0.54, 0.81, 0.54, 0.66, 0.81, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,cooktop,pt,nao classificado,coccao,201000,173767.7,41.0,0.11,1.0,"Informational, Commercial",0,"Related Searches, Image Pack, Site Links, Video, People Also Ask, Popular Products",20.0,"[0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.67, 0.81, 0.67, 0.81, 0.67]",1,generico
