topico,pais,seed,volume,prompts,eh_categoria,familia,estagio,categoria,marcas,marcas_nucleo,eh_branded,trend,int_informational,int_commercial,int_transactional,int_navigational,int_task
Air Fryer Recipes,br,air_fryers,35047,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,3;3;4;4;16;16;16;98;100;100;100;100,0.69,0.1,0.02,0.02,0.17
Industrial Air Fryers,br,air_fryers,324,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,86;91;92;87;60;62;100;63;63;66;65;65,0.62,0.26,0.06,0.04,0.02
Air Fryers in Brazil,br,air_fryers,1540,16,1,produto e categoria,exploracao de categoria,air fryer,,,0,1;6;8;6;7;3;8;100;37;63;34;38,0.51,0.28,0.07,0.11,0.03
Air Fryers on Amazon,br,air_fryers,240,15,1,produto e categoria,descoberta,air fryer,,,0,40;58;100;68;52;54;52;94;83;51;55;65,0.29,0.12,0.24,0.28,0.07
Deep Fryers,br,air_fryers,652,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,41;45;45;45;99;100;100;39;37;28;28;29,0.52,0.34,0.09,0.04,0.01
Sam's Club Air Fryers,br,air_fryers,99,16,1,produto e categoria,descoberta,air fryer,,,0,24;45;51;31;31;31;22;100;66;40;23;23,0.37,0.18,0.15,0.27,0.03
Air Tech & Platforms,br,air_fryers,347,17,0,produto e categoria,exploracao de categoria,sem categoria,,,0,17;24;31;32;31;20;21;55;60;92;91;100,0.45,0.2,0.09,0.23,0.03
Black & Decker Air Fryers,br,air_fryers,1076,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,73;98;100;99;76;82;83;81;84;84;80;78,0.46,0.21,0.24,0.05,0.04
Air Fryer 12V/24V,br,air_fryers,416,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,23;25;26;29;27;27;72;32;67;100;96;99,0.49,0.39,0.03,0.03,0.06
Electrolux 4L Air Fryers,br,air_fryers,609,15,1,produto e categoria,exploracao de categoria,air fryer,electrolux,electrolux,1,15;44;49;37;37;34;25;56;75;100;49;50,0.52,0.24,0.16,0.05,0.03
Air Fryer Kitchen Art,br,air_fryers,1581,17,1,produto e categoria,exploracao de categoria,air fryer,,,0,40;46;38;37;84;82;83;80;99;100;96;95,0.56,0.25,0.05,0.02,0.12
Air Fryer Inox,br,air_fryers,1091,19,1,especificacao de produto,escolha,air fryer,,,0,80;93;100;76;84;87;82;70;86;86;87;87,0.64,0.21,0.08,0.05,0.02
Air Fryers 6L,br,air_fryers,3439,22,1,produto e categoria,exploracao de categoria,air fryer,,,0,84;98;100;50;43;46;47;40;61;61;61;60,0.53,0.3,0.11,0.04,0.02
Fritadeiras Air Fryer e Fornos,br,air_fryers,17475,26,1,produto e categoria,exploracao de categoria,coccao,,,0,44;48;52;42;58;58;59;100;75;74;75;74,0.51,0.35,0.07,0.03,0.04
air fryers e fornos elétricos,br,air_fryers,658,15,1,produto e categoria,exploracao de categoria,coccao,,,0,35;40;42;38;42;41;40;100;93;51;53;57,0.73,0.12,0.07,0.03,0.05
Fogões com Air Fryer,br,air_fryers,5131,27,1,produto e categoria,exploracao de categoria,air fryer,,,0,80;85;52;68;89;91;91;86;99;100;95;95,0.63,0.22,0.08,0.05,0.02
Home Appliances & Kitchen Gadgets,br,air_fryers,19836,31,0,produto e categoria,exploracao de categoria,sem categoria,,,0,30;100;56;87;75;75;75;51;92;92;100;93,0.56,0.22,0.06,0.06,0.1
Air Fryer e Forno,br,air_fryers,31544,59,1,produto e categoria,exploracao de categoria,coccao,,,0,18;21;23;86;57;57;57;100;78;78;78;78,0.55,0.24,0.12,0.04,0.05
Air Fryer Brasil — Avaliações,br,air_fryers,105,15,1,comparacao e modelo,escolha,air fryer,,,0,29;44;58;43;100;70;95;79;66;57;55;70,0.63,0.26,0.04,0.04,0.03
Fritadeiras Airfryer Rotativas,br,air_fryers,1442,18,1,produto e categoria,exploracao de categoria,air fryer,,,0,58;72;67;89;96;98;100;100;100;100;100;100,0.59,0.26,0.09,0.04,0.02
Ninja Air Fryer,br,air_fryers,3495,20,1,produto e categoria,exploracao de categoria,air fryer,,,0,78;98;100;67;70;74;75;70;75;75;76;75,0.48,0.3,0.08,0.09,0.05
Fritadeiras Elétricas (Air Fryers),br,air_fryers,584548,491,1,produto e categoria,escolha,air fryer,,,0,17;16;18;25;100;100;100;30;39;39;39;39,0.46,0.33,0.14,0.02,0.05
Melhores Air Fryers: Custo-Benefício,br,air_fryers,24858,53,1,preco e compra,escolha,air fryer,,,0,12;16;19;74;70;70;71;100;100;100;100;100,0.33,0.59,0.02,0.01,0.05
Cuisinart - Fornos e Air Fryers,br,air_fryers,467,16,1,produto e categoria,exploracao de categoria,coccao,,,0,64;81;100;92;96;84;85;92;91;92;84;84,0.38,0.32,0.1,0.17,0.03
Nuggets na Air Fryer,br,air_fryers,4295,25,1,produto e categoria,exploracao de categoria,air fryer,,,0,31;35;46;56;94;95;95;90;100;100;100;100,0.72,0.1,0.05,0.05,0.08
Airfryer na Havan,br,air_fryers,1470,16,1,produto e categoria,descoberta,air fryer,,,0,85;99;100;98;48;50;50;55;66;66;67;66,0.26,0.05,0.29,0.38,0.02
