prioridade,familia,categoria,keyword,racional
1,defeito,geladeira,geladeira não gela,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira não gela o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira não gela,formulacao alternativa
1,defeito,geladeira,geladeira não está gelando,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira não está gelando o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira não está gelando,formulacao alternativa
1,defeito,geladeira,geladeira fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira fazendo barulho o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira fazendo barulho,formulacao alternativa
1,defeito,geladeira,geladeira vazando água,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira vazando água o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira vazando água,formulacao alternativa
1,defeito,geladeira,geladeira não liga,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira não liga o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira não liga,formulacao alternativa
1,defeito,geladeira,geladeira congelando demais,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira congelando demais o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira congelando demais,formulacao alternativa
1,defeito,geladeira,geladeira formando gelo,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira formando gelo o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira formando gelo,formulacao alternativa
1,defeito,geladeira,geladeira com cheiro ruim,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira com cheiro ruim o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira com cheiro ruim,formulacao alternativa
1,defeito,geladeira,geladeira luz não acende,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira luz não acende o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira luz não acende,formulacao alternativa
1,defeito,geladeira,geladeira motor não desliga,query de socorro; altissima intencao de servico
1,defeito,geladeira,geladeira motor não desliga o que fazer,formulacao de busca por solucao
1,defeito,geladeira,como resolver geladeira motor não desliga,formulacao alternativa
1,defeito,freezer,freezer não congela,query de socorro; altissima intencao de servico
1,defeito,freezer,freezer não gela,query de socorro; altissima intencao de servico
1,defeito,freezer,freezer formando gelo,query de socorro; altissima intencao de servico
1,defeito,freezer,freezer fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,freezer,freezer não liga,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não centrifuga,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não centrifuga o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar não centrifuga,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar não enche de água,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não enche de água o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar não enche de água,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar não escoa,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não escoa o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar não escoa,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar não liga,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não liga o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar não liga,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar fazendo barulho o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar fazendo barulho,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar vazando água,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar vazando água o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar vazando água,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar travada,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar travada o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar travada,formulacao alternativa
